"company_id","industry"
880,"Fintech"
834,"Fintech"
542,"Internet software & services"
1043,"Health"
410,"Data management & analytics"
637,"Artificial intelligence"
616,"Internet software & services"
611,"Health"
1064,"Fintech"
1032,"Artificial intelligence"
737,"Internet software & services"
374,"E-commerce & direct-to-consumer"
172,"Mobile & telecommunications"
414,"Fintech"
845,"Hardware"
1055,"Internet software & services"
416,"Cybersecurity"
682,"Hardware"
967,"Other"
551,"Consumer & retail"
491,"Artificial intelligence"
446,"Fintech"
982,"Cybersecurity"
850,"Mobile & telecommunications"
928,"Artificial intelligence"
380,"Mobile & telecommunications"
451,"Internet software & services"
987,"Internet software & services"
842,"Other"
620,"Edtech"
356,"Fintech"
872,"E-commerce & direct-to-consumer"
417,"Internet software & services"
427,"E-commerce & direct-to-consumer"
255,"Other"
397,"Data management & analytics"
857,"Internet software & services"
588,"Internet software & services"
1005,"Data management & analytics"
609,"Fintech"
619,"Fintech"
681,"Cybersecurity"
489,"Internet software & services"
626,"""Supply chain, logistics, & delivery"""
649,"Fintech"
234,"Internet software & services"
770,"Fintech"
614,"E-commerce & direct-to-consumer"
482,"Fintech"
968,"E-commerce & direct-to-consumer"
899,"Health"
386,"Consumer & retail"
665,"Internet software & services"
1039,"Artificial intelligence"
800,"Data management & analytics"
457,"Fintech"
676,"Fintech"
1050,"Artificial intelligence"
694,"Fintech"
481,"Data management & analytics"
878,"Artificial intelligence"
995,"Fintech"
1034,"Artificial intelligence"
855,"Hardware"
345,"Edtech"
691,"Internet software & services"
860,"Internet software & services"
511,"Hardware"
704,"Health"
881,"Other"
747,"Internet software & services"
861,"Fintech"
407,"Internet software & services"
858,"Fintech"
749,"Cybersecurity"
841,"""Supply chain, logistics, & delivery"""
282,"Internet software & services"
1026,"Fintech"
630,"Fintech"
621,"Fintech"
847,"E-commerce & direct-to-consumer"
223,"Internet software & services"
1009,"Other"
563,"Hardware"
476,"Artificial intelligence"
970,"Consumer & retail"
990,"Fintech"
728,"Cybersecurity"
415,"Internet software & services"
956,"Health"
418,"Fintech"
892,"Data management & analytics"
991,"Artificial intelligence"
1028,"Internet software & services"
454,"Health"
400,"Internet software & services"
1042,"E-commerce & direct-to-consumer"
753,"Cybersecurity"
911,"Cybersecurity"
819,"Internet software & services"
507,"Health"
910,"Health"
756,"Internet software & services"
480,"Internet software & services"
405,"Internet software & services"
683,"E-commerce & direct-to-consumer"
959,"Fintech"
954,"Health"
203,"Data management & analytics"
170,"Mobile & telecommunications"
698,"Data management & analytics"
790,"Internet software & services"
962,"Health"
865,"Cybersecurity"
461,"Consumer & retail"
670,"Data management & analytics"
529,"Fintech"
634,"Edtech"
897,"Cybersecurity"
924,"E-commerce & direct-to-consumer"
768,"Data management & analytics"
707,"Cybersecurity"
673,"Health"
1049,"Fintech"
1017,"""Supply chain, logistics, & delivery"""
856,"Artificial intelligence"
1007,"Internet software & services"
462,"Internet software & services"
832,"Data management & analytics"
265,"E-commerce & direct-to-consumer"
485,"Fintech"
490,"Other"
723,"E-commerce & direct-to-consumer"
913,"Artificial intelligence"
534,"Fintech"
494,"Internet software & services"
849,"Internet software & services"
908,"Other"
264,"Fintech"
550,"Fintech"
778,"Internet software & services"
624,"""Supply chain, logistics, & delivery"""
958,"Cybersecurity"
440,"Fintech"
921,"Mobile & telecommunications"
926,"Internet software & services"
584,"Other"
980,"Fintech"
468,"Hardware"
709,"Artificial intelligence"
138,"Fintech"
719,"Other"
505,"E-commerce & direct-to-consumer"
811,"E-commerce & direct-to-consumer"
395,"Internet software & services"
746,"Data management & analytics"
1052,"Edtech"
806,"Fintech"
873,"Artificial intelligence"
966,"Artificial intelligence"
545,"Mobile & telecommunications"
912,"""Supply chain, logistics, & delivery"""
187,"Internet software & services"
47,"Fintech"
868,"Artificial intelligence"
671,"E-commerce & direct-to-consumer"
521,"Health"
591,"Health"
593,"Health"
84,"Fintech"
459,"Health"
514,"Mobile & telecommunications"
425,"""Supply chain, logistics, & delivery"""
561,"Internet software & services"
303,"Fintech"
914,"Internet software & services"
957,"Hardware"
368,"E-commerce & direct-to-consumer"
204,"Edtech"
14,"Fintech"
1010,"""Supply chain, logistics, & delivery"""
10,"Fintech"
220,"Auto & transportation"
615,"Auto & transportation"
6,"Fintech"
3,"Fintech"
34,"E-commerce & direct-to-consumer"
12,"Fintech"
657,"Auto & transportation"
169,"Fintech"
2,"E-commerce & direct-to-consumer"
26,"Health"
93,"E-commerce & direct-to-consumer"
176,"Artificial intelligence"
86,"Consumer & retail"
66,"E-commerce & direct-to-consumer"
64,"Auto & transportation"
62,"Travel"
60,"Other"
71,"Internet software & services"
640,"E-commerce & direct-to-consumer"
56,"""Supply chain, logistics, & delivery"""
76,"Cybersecurity"
83,"""Supply chain, logistics, & delivery"""
149,"""Supply chain, logistics, & delivery"""
67,"Fintech"
155,"Fintech"
103,"Consumer & retail"
523,"Artificial intelligence"
789,"Artificial intelligence"
961,"Mobile & telecommunications"
854,"Internet software & services"
554,"Data management & analytics"
522,"Fintech"
935,"Edtech"
552,"Fintech"
687,"Mobile & telecommunications"
815,"Internet software & services"
895,"Fintech"
510,"Artificial intelligence"
531,"Artificial intelligence"
949,"Edtech"
833,"Internet software & services"
650,"Internet software & services"
1057,"Internet software & services"
785,"Fintech"
408,"Data management & analytics"
1015,"E-commerce & direct-to-consumer"
642,"Mobile & telecommunications"
617,"Artificial intelligence"
779,"E-commerce & direct-to-consumer"
475,"""Supply chain, logistics, & delivery"""
349,"Internet software & services"
272,"Internet software & services"
708,"Fintech"
916,"Fintech"
289,"Health"
675,"Fintech"
266,"Internet software & services"
784,"Health"
471,"Internet software & services"
622,"Edtech"
574,"Internet software & services"
766,"Artificial intelligence"
693,"Edtech"
390,"Fintech"
413,"E-commerce & direct-to-consumer"
684,"Fintech"
801,"Health"
748,"Other"
206,"Fintech"
752,"Internet software & services"
820,"Hardware"
965,"Internet software & services"
448,"Hardware"
902,"Internet software & services"
1036,"Fintech"
304,"Fintech"
325,"Fintech"
1019,"Artificial intelligence"
690,"Health"
636,"Auto & transportation"
342,"Internet software & services"
343,"Internet software & services"
933,"Mobile & telecommunications"
1011,"Cybersecurity"
1062,"E-commerce & direct-to-consumer"
428,"Internet software & services"
1021,"""Supply chain, logistics, & delivery"""
332,"Internet software & services"
950,"Consumer & retail"
54,"Internet software & services"
308,"Internet software & services"
493,"Internet software & services"
237,"Internet software & services"
730,"Fintech"
741,"""Supply chain, logistics, & delivery"""
960,"E-commerce & direct-to-consumer"
1038,"E-commerce & direct-to-consumer"
780,"E-commerce & direct-to-consumer"
774,"Other"
936,"Fintech"
351,"Fintech"
602,"Fintech"
802,"Fintech"
794,"Consumer & retail"
381,"Health"
1025,"""Supply chain, logistics, & delivery"""
831,"""Supply chain, logistics, & delivery"""
429,"Fintech"
547,"Internet software & services"
568,"Internet software & services"
57,"Internet software & services"
628,"Other"
517,"Fintech"
777,"E-commerce & direct-to-consumer"
827,"Data management & analytics"
786,"Data management & analytics"
528,"Internet software & services"
210,"Internet software & services"
917,"""Supply chain, logistics, & delivery"""
328,"Internet software & services"
508,"Other"
192,"Data management & analytics"
994,"Internet software & services"
877,"""Supply chain, logistics, & delivery"""
646,"Artificial intelligence"
589,"Data management & analytics"
278,"Internet software & services"
474,"Cybersecurity"
918,"""Supply chain, logistics, & delivery"""
323,"Internet software & services"
729,"Artificial intelligence"
835,"Mobile & telecommunications"
680,"Auto & transportation"
927,"Artificial intelligence"
467,"Fintech"
535,"Fintech"
773,"Internet software & services"
596,"Fintech"
267,"Hardware"
208,"Fintech"
702,"E-commerce & direct-to-consumer"
648,"Mobile & telecommunications"
1003,"Fintech"
412,"Artificial intelligence"
558,"Fintech"
1029,"Internet software & services"
158,"Artificial intelligence"
536,"E-commerce & direct-to-consumer"
598,"Health"
512,"Health"
39,"Auto & transportation"
1037,"Mobile & telecommunications"
431,"Internet software & services"
739,"Fintech"
499,"Fintech"
207,"Internet software & services"
1069,"E-commerce & direct-to-consumer"
307,"Health"
437,"Artificial intelligence"
787,"""Supply chain, logistics, & delivery"""
392,"Internet software & services"
182,"Hardware"
401,"Data management & analytics"
555,"Fintech"
713,"Internet software & services"
772,"E-commerce & direct-to-consumer"
700,"Internet software & services"
442,"Internet software & services"
663,"Internet software & services"
1068,"Edtech"
722,"Fintech"
444,"Cybersecurity"
888,"""Supply chain, logistics, & delivery"""
366,"Edtech"
915,"Health"
339,"Fintech"
656,"Other"
659,"Auto & transportation"
631,"Health"
275,"Cybersecurity"
807,"Fintech"
985,"Travel"
466,"E-commerce & direct-to-consumer"
524,"Internet software & services"
296,"Fintech"
735,"""Supply chain, logistics, & delivery"""
309,"E-commerce & direct-to-consumer"
577,"Hardware"
23,"E-commerce & direct-to-consumer"
105,"Auto & transportation"
9,"Data management & analytics"
46,"Edtech"
7,"""Supply chain, logistics, & delivery"""
48,"Travel"
502,"Internet software & services"
28,"Internet software & services"
516,"Artificial intelligence"
438,"Cybersecurity"
501,"Fintech"
473,"Health"
465,"Fintech"
1044,"Fintech"
818,"Fintech"
195,"E-commerce & direct-to-consumer"
125,"Fintech"
885,"Fintech"
689,"Auto & transportation"
288,"Fintech"
280,"Data management & analytics"
843,"Auto & transportation"
256,"Cybersecurity"
582,"Data management & analytics"
745,"Travel"
559,"Data management & analytics"
590,"Mobile & telecommunications"
124,"Internet software & services"
233,"Internet software & services"
209,"Data management & analytics"
284,"Data management & analytics"
119,"Internet software & services"
1016,"Fintech"
291,"Artificial intelligence"
371,"Fintech"
488,"""Supply chain, logistics, & delivery"""
245,"Other"
435,"Other"
346,"Internet software & services"
445,"""Supply chain, logistics, & delivery"""
539,"E-commerce & direct-to-consumer"
500,"Artificial intelligence"
497,"Consumer & retail"
99,"Fintech"
981,"Internet software & services"
159,"Mobile & telecommunications"
150,"Artificial intelligence"
710,"Fintech"
348,"Internet software & services"
27,"E-commerce & direct-to-consumer"
776,"E-commerce & direct-to-consumer"
145,"Fintech"
775,"E-commerce & direct-to-consumer"
385,"E-commerce & direct-to-consumer"
597,"Artificial intelligence"
685,"Internet software & services"
112,"Internet software & services"
829,"E-commerce & direct-to-consumer"
553,"Fintech"
492,"Fintech"
183,"Internet software & services"
188,"Internet software & services"
402,"""Supply chain, logistics, & delivery"""
419,"Other"
715,"Internet software & services"
543,"E-commerce & direct-to-consumer"
923,"Hardware"
638,"Health"
660,"Consumer & retail"
199,"Internet software & services"
525,"E-commerce & direct-to-consumer"
458,"Internet software & services"
236,"E-commerce & direct-to-consumer"
90,"Internet software & services"
108,"Fintech"
575,"Fintech"
767,"E-commerce & direct-to-consumer"
984,"Health"
548,"Auto & transportation"
238,"Fintech"
532,"Fintech"
562,"Hardware"
453,"E-commerce & direct-to-consumer"
699,"Other"
557,"""Supply chain, logistics, & delivery"""
808,"Fintech"
759,"Other"
357,"Fintech"
922,"Fintech"
905,"Fintech"
300,"Edtech"
151,"Health"
976,"Other"
268,"Health"
406,"Hardware"
298,"Mobile & telecommunications"
179,"Fintech"
242,"E-commerce & direct-to-consumer"
387,"Hardware"
496,"Cybersecurity"
336,"Fintech"
727,"E-commerce & direct-to-consumer"
560,"Data management & analytics"
318,"Fintech"
581,"Fintech"
18,"Internet software & services"
193,"Edtech"
358,"Fintech"
757,"""Supply chain, logistics, & delivery"""
302,"Edtech"
311,"""Supply chain, logistics, & delivery"""
1013,"Consumer & retail"
537,"Internet software & services"
326,"Fintech"
190,"Internet software & services"
955,"E-commerce & direct-to-consumer"
24,"Fintech"
133,"Hardware"
1067,"Internet software & services"
197,"E-commerce & direct-to-consumer"
213,"E-commerce & direct-to-consumer"
533,"Fintech"
721,"Health"
276,"Internet software & services"
347,"Fintech"
59,"Internet software & services"
486,"Other"
142,"Health"
447,"Internet software & services"
196,"Cybersecurity"
52,"E-commerce & direct-to-consumer"
15,"Edtech"
13,"E-commerce & direct-to-consumer"
19,"Edtech"
30,"Other"
89,"Auto & transportation"
166,"Auto & transportation"
29,"Artificial intelligence"
4,"Fintech"
324,"Edtech"
257,"Cybersecurity"
165,"Health"
359,"Mobile & telecommunications"
576,"Travel"
230,"Fintech"
948,"""Supply chain, logistics, & delivery"""
180,"Cybersecurity"
573,"""Supply chain, logistics, & delivery"""
530,"Internet software & services"
283,"Data management & analytics"
520,"Fintech"
495,"E-commerce & direct-to-consumer"
696,"Internet software & services"
711,"Fintech"
678,"Consumer & retail"
132,"Artificial intelligence"
986,"Internet software & services"
1056,"Travel"
469,"Other"
566,"E-commerce & direct-to-consumer"
1047,"Fintech"
992,"Internet software & services"
762,"Other"
706,"E-commerce & direct-to-consumer"
221,"Internet software & services"
564,"Consumer & retail"
329,"Health"
608,"Hardware"
116,"Internet software & services"
859,"Health"
504,"Internet software & services"
337,"Cybersecurity"
879,"Cybersecurity"
578,"E-commerce & direct-to-consumer"
527,"Fintech"
629,"Mobile & telecommunications"
260,"Fintech"
692,"Internet software & services"
259,"Cybersecurity"
867,"""Supply chain, logistics, & delivery"""
338,"Internet software & services"
225,"Internet software & services"
362,"Fintech"
541,"Artificial intelligence"
883,"Fintech"
450,"Fintech"
838,"Internet software & services"
181,"Internet software & services"
479,"Consumer & retail"
286,"Internet software & services"
432,"Fintech"
570,"Cybersecurity"
1020,"Artificial intelligence"
216,"Fintech"
607,"Mobile & telecommunications"
900,"E-commerce & direct-to-consumer"
77,"Fintech"
244,"Fintech"
569,"Internet software & services"
506,"Other"
313,"Fintech"
235,"Data management & analytics"
654,"""Supply chain, logistics, & delivery"""
177,"Fintech"
373,"Consumer & retail"
487,"Fintech"
42,"Consumer & retail"
299,"Cybersecurity"
141,"Internet software & services"
137,"E-commerce & direct-to-consumer"
51,"Fintech"
586,"Fintech"
144,"Internet software & services"
389,"Health"
572,"Health"
585,"Fintech"
887,"Health"
5,"Internet software & services"
677,"Travel"
49,"Internet software & services"
793,"""Supply chain, logistics, & delivery"""
470,"E-commerce & direct-to-consumer"
261,"E-commerce & direct-to-consumer"
295,"Cybersecurity"
95,"Artificial intelligence"
1053,"Internet software & services"
594,"Travel"
120,"Fintech"
974,"Mobile & telecommunications"
306,"Edtech"
939,"""Supply chain, logistics, & delivery"""
526,"""Supply chain, logistics, & delivery"""
754,"Internet software & services"
376,"Other"
889,"E-commerce & direct-to-consumer"
148,"Data management & analytics"
157,"Travel"
519,"Auto & transportation"
41,"""Supply chain, logistics, & delivery"""
43,"Hardware"
16,"""Supply chain, logistics, & delivery"""
38,"E-commerce & direct-to-consumer"
312,"Fintech"
940,"Other"
127,"Cybersecurity"
94,"Artificial intelligence"
205,"E-commerce & direct-to-consumer"
270,"Artificial intelligence"
75,"Fintech"
993,"Consumer & retail"
744,"Other"
341,"E-commerce & direct-to-consumer"
472,"E-commerce & direct-to-consumer"
571,"Mobile & telecommunications"
228,"E-commerce & direct-to-consumer"
1073,"E-commerce & direct-to-consumer"
1040,"Hardware"
460,"Other"
316,"Fintech"
320,"E-commerce & direct-to-consumer"
107,"Fintech"
605,"Health"
1006,"Edtech"
666,"Cybersecurity"
736,"Health"
156,"Data management & analytics"
372,"Fintech"
544,"Other"
378,"Cybersecurity"
184,"Internet software & services"
135,"Cybersecurity"
102,"Other"
143,"Internet software & services"
869,"Internet software & services"
674,"E-commerce & direct-to-consumer"
627,"""Supply chain, logistics, & delivery"""
977,"E-commerce & direct-to-consumer"
167,"Fintech"
821,"Travel"
198,"Health"
655,"E-commerce & direct-to-consumer"
546,"Artificial intelligence"
661,"Fintech"
80,"Fintech"
253,"Data management & analytics"
100,"Fintech"
483,"E-commerce & direct-to-consumer"
214,"Internet software & services"
669,"Health"
315,"Hardware"
297,"""Supply chain, logistics, & delivery"""
222,"Mobile & telecommunications"
515,"Fintech"
68,"Internet software & services"
726,"Other"
904,"Health"
441,"Hardware"
301,"Artificial intelligence"
919,"Data management & analytics"
263,"Edtech"
140,"Artificial intelligence"
55,"Fintech"
377,"Fintech"
871,"Auto & transportation"
310,"E-commerce & direct-to-consumer"
613,"Health"
163,"Fintech"
277,"E-commerce & direct-to-consumer"
1059,"Internet software & services"
503,"""Supply chain, logistics, & delivery"""
330,"Fintech"
254,"Cybersecurity"
367,"Artificial intelligence"
399,"Fintech"
61,"Fintech"
375,"Mobile & telecommunications"
716,"Fintech"
224,"Hardware"
22,"Consumer & retail"
720,"Travel"
322,"Internet software & services"
279,"Internet software & services"
111,"Data management & analytics"
126,"Fintech"
269,"Cybersecurity"
25,"Fintech"
160,"E-commerce & direct-to-consumer"
731,"Other"
202,"E-commerce & direct-to-consumer"
74,"Fintech"
439,"Auto & transportation"
379,"Other"
154,"E-commerce & direct-to-consumer"
423,"Travel"
262,"Internet software & services"
219,"Health"
161,"Auto & transportation"
36,"Hardware"
384,"E-commerce & direct-to-consumer"
599,"Internet software & services"
20,"Fintech"
241,"""Supply chain, logistics, & delivery"""
69,"Mobile & telecommunications"
333,"Fintech"
246,"Mobile & telecommunications"
70,"Cybersecurity"
174,"E-commerce & direct-to-consumer"
294,"Auto & transportation"
601,"Artificial intelligence"
795,"Artificial intelligence"
319,"E-commerce & direct-to-consumer"
274,"Edtech"
538,"Fintech"
478,"Consumer & retail"
1072,"Fintech"
200,"Other"
498,"Auto & transportation"
35,"Health"
903,"Data management & analytics"
610,"Artificial intelligence"
11,"Other"
1,"Other"
932,"E-commerce & direct-to-consumer"
653,"""Supply chain, logistics, & delivery"""
874,"E-commerce & direct-to-consumer"
37,"Internet software & services"
106,"Fintech"
117,"""Supply chain, logistics, & delivery"""
1071,"Consumer & retail"
305,"Internet software & services"
110,"Health"
281,"""Supply chain, logistics, & delivery"""
81,"Health"
152,"Fintech"
122,"Health"
403,"Auto & transportation"
92,"Fintech"
98,"Artificial intelligence"
232,"Internet software & services"
247,"Internet software & services"
388,"Fintech"
88,"Mobile & telecommunications"
218,"""Supply chain, logistics, & delivery"""
178,"Fintech"
128,"Internet software & services"
851,"Artificial intelligence"
853,"Hardware"
227,"Other"
1061,"Fintech"
799,"Auto & transportation"
293,"Other"
231,"Fintech"
114,"Health"
0,"Artificial intelligence"
463,"Internet software & services"
162,"Fintech"
433,"Other"
836,"Fintech"
668,"Fintech"
123,"Health"
96,"Travel"
17,"E-commerce & direct-to-consumer"
353,"Fintech"
973,"Internet software & services"
97,"Cybersecurity"
87,"Fintech"
153,"Internet software & services"
109,"Fintech"
946,"Edtech"
937,"Fintech"
139,"Hardware"
131,"Hardware"
360,"E-commerce & direct-to-consumer"
658,"E-commerce & direct-to-consumer"
186,"E-commerce & direct-to-consumer"
604,"Health"
600,"E-commerce & direct-to-consumer"
672,"E-commerce & direct-to-consumer"
518,"Internet software & services"
331,"Health"
382,"""Supply chain, logistics, & delivery"""
21,"Internet software & services"
271,"Fintech"
664,"Fintech"
1070,"E-commerce & direct-to-consumer"
146,"Fintech"
292,"Mobile & telecommunications"
792,"Internet software & services"
639,"Other"
567,"""Supply chain, logistics, & delivery"""
945,"Data management & analytics"
947,"Consumer & retail"
717,"E-commerce & direct-to-consumer"
424,"Other"
733,"Internet software & services"
1002,"Mobile & telecommunications"
215,"E-commerce & direct-to-consumer"
866,"Internet software & services"
651,"Fintech"
890,"Fintech"
