id,age,job,marital,education,credit_default,housing,loan
469,42,management,married,university_degree,no,no,no
470,42,technician,single,professional_course,unknown,unknown,unknown
471,43,management,married,professional_course,no,yes,no
472,31,admin,divorced,high_school,no,no,no
473,29,admin,married,university_degree,unknown,yes,no
474,57,blue-collar,divorced,basic_4y,no,no,no
475,44,blue-collar,married,basic_9y,unknown,no,no
476,59,unknown,married,,unknown,no,no
477,39,blue-collar,married,basic_4y,unknown,no,no
478,57,retired,married,university_degree,no,no,no
479,41,management,married,,unknown,no,no
480,37,technician,single,high_school,unknown,no,yes
481,38,services,married,high_school,no,yes,no
482,42,retired,married,basic_4y,no,no,no
483,49,unknown,married,,unknown,yes,no
484,54,management,married,basic_6y,unknown,yes,yes
485,36,admin,married,university_degree,no,unknown,unknown
486,32,admin,single,university_degree,unknown,no,no
487,35,technician,married,professional_course,no,yes,no
488,45,housemaid,married,professional_course,unknown,no,no
489,56,technician,married,,no,yes,no
490,34,technician,married,university_degree,no,yes,no
491,41,unemployed,married,basic_9y,unknown,no,no
492,41,services,married,basic_9y,no,no,no
493,36,blue-collar,married,basic_9y,unknown,no,no
494,32,admin,single,university_degree,unknown,unknown,unknown
495,31,services,married,high_school,unknown,unknown,unknown
496,38,technician,married,professional_course,no,yes,no
497,35,admin,divorced,university_degree,unknown,yes,no
498,53,admin,married,professional_course,no,yes,no
499,51,admin,married,basic_6y,unknown,yes,no
500,56,entrepreneur,married,university_degree,unknown,no,no
501,33,admin,married,basic_9y,no,unknown,unknown
502,33,admin,married,basic_9y,no,no,no
503,51,services,divorced,high_school,unknown,yes,no
504,39,services,married,high_school,unknown,yes,no
505,45,entrepreneur,married,university_degree,no,no,no
506,40,technician,single,university_degree,no,no,no
507,60,unknown,single,,unknown,yes,no
508,33,technician,married,university_degree,no,yes,no
509,47,blue-collar,married,high_school,unknown,yes,no
510,48,blue-collar,married,basic_4y,no,no,no
511,43,entrepreneur,married,high_school,no,no,no
512,37,management,married,university_degree,no,yes,no
513,50,services,married,basic_9y,no,yes,yes
514,59,entrepreneur,married,high_school,no,yes,no
515,32,technician,married,,unknown,yes,no
516,42,housemaid,single,basic_4y,unknown,yes,no
517,52,blue-collar,married,basic_4y,no,no,no
518,42,blue-collar,married,,unknown,no,no
519,42,admin,married,,no,no,no
520,40,management,married,basic_9y,unknown,unknown,unknown
521,38,blue-collar,married,basic_9y,no,no,no
522,39,blue-collar,married,basic_6y,no,yes,no
523,39,blue-collar,married,basic_6y,no,no,no
524,38,admin,married,high_school,no,no,no
525,47,admin,single,,unknown,yes,no
526,30,services,single,high_school,no,no,no
527,38,admin,divorced,high_school,no,yes,yes
528,39,technician,divorced,university_degree,no,no,no
529,44,admin,married,high_school,no,no,no
530,36,admin,married,high_school,no,no,no
531,41,services,married,high_school,unknown,yes,yes
532,41,blue-collar,married,basic_6y,no,no,no
533,35,blue-collar,married,basic_9y,no,no,no
534,41,technician,married,high_school,no,no,no
535,36,services,married,high_school,unknown,no,no
536,35,admin,single,high_school,no,yes,yes
537,33,blue-collar,single,basic_4y,unknown,no,no
538,38,admin,single,basic_6y,unknown,no,no
539,33,self-employed,married,university_degree,no,no,no
540,55,self-employed,married,,unknown,no,no
541,36,blue-collar,single,basic_9y,unknown,no,no
542,57,technician,married,professional_course,unknown,no,yes
543,32,entrepreneur,single,university_degree,no,yes,no
544,30,self-employed,single,high_school,no,yes,no
545,43,admin,married,professional_course,no,yes,yes
546,46,admin,married,university_degree,no,no,no
547,35,admin,divorced,high_school,no,no,yes
548,34,admin,single,university_degree,no,yes,yes
549,50,blue-collar,married,basic_4y,unknown,unknown,unknown
550,39,admin,single,university_degree,no,no,no
551,39,blue-collar,married,basic_9y,unknown,no,no
552,42,entrepreneur,married,basic_6y,no,no,no
553,57,retired,married,university_degree,no,yes,no
554,45,blue-collar,married,basic_4y,unknown,no,no
555,40,technician,married,basic_4y,no,no,yes
556,42,blue-collar,married,high_school,no,no,yes
557,40,technician,married,basic_4y,no,no,no
558,38,blue-collar,single,basic_4y,unknown,no,no
559,39,blue-collar,married,basic_6y,unknown,yes,yes
560,41,blue-collar,married,basic_4y,no,no,no
561,39,blue-collar,married,basic_6y,unknown,yes,no
562,41,blue-collar,married,basic_4y,no,yes,yes
563,45,admin,married,university_degree,unknown,no,no
564,35,admin,divorced,university_degree,no,unknown,unknown
565,35,admin,married,basic_6y,no,yes,no
566,49,blue-collar,married,high_school,unknown,no,no
567,36,technician,married,,no,no,no
568,23,admin,single,university_degree,no,no,no
569,43,unemployed,married,university_degree,unknown,unknown,unknown
570,49,entrepreneur,married,professional_course,no,unknown,unknown
571,36,technician,married,professional_course,no,unknown,unknown
572,51,blue-collar,married,basic_9y,unknown,yes,no
573,56,retired,married,basic_4y,unknown,yes,yes
574,45,housemaid,married,high_school,no,no,no
575,42,admin,married,high_school,no,no,no
576,41,admin,divorced,high_school,no,no,no
577,32,services,married,high_school,unknown,no,yes
578,46,management,married,university_degree,no,no,no
579,37,blue-collar,married,,no,no,no
580,53,management,married,university_degree,unknown,no,no
581,30,blue-collar,married,basic_4y,no,no,no
582,45,unknown,married,,unknown,no,no
583,24,technician,single,professional_course,no,no,yes
584,45,unknown,married,,unknown,no,no
585,34,admin,single,university_degree,no,no,yes
586,41,management,married,university_degree,unknown,no,no
587,59,blue-collar,married,basic_4y,no,yes,no
588,45,blue-collar,married,basic_4y,unknown,no,no
589,54,blue-collar,married,basic_6y,unknown,no,no
590,32,technician,married,professional_course,no,no,no
591,33,technician,married,professional_course,no,yes,no
592,32,admin,married,university_degree,no,no,no
593,34,services,single,high_school,no,unknown,unknown
594,46,management,married,university_degree,no,no,no
595,57,technician,married,professional_course,no,yes,no
596,42,technician,married,basic_9y,no,no,no
597,48,admin,married,professional_course,no,yes,no
598,58,admin,divorced,university_degree,unknown,yes,no
599,34,services,married,high_school,no,no,no
600,32,admin,single,university_degree,no,yes,yes
601,48,blue-collar,married,basic_9y,no,no,no
602,47,blue-collar,married,basic_9y,no,no,no
603,31,services,married,high_school,unknown,no,no
604,32,admin,single,university_degree,no,yes,no
605,32,admin,single,university_degree,no,no,no
606,36,services,married,high_school,no,no,no
607,53,blue-collar,married,basic_4y,unknown,no,yes
608,37,blue-collar,married,basic_9y,unknown,no,no
609,50,services,married,high_school,no,no,no
610,46,blue-collar,married,basic_6y,no,yes,no
611,41,admin,married,high_school,no,no,no
612,43,blue-collar,single,basic_4y,no,no,no
613,51,management,married,university_degree,no,yes,no
614,38,admin,married,university_degree,no,yes,no
615,41,technician,married,basic_6y,no,yes,no
616,39,services,married,high_school,unknown,no,no
617,52,blue-collar,married,basic_4y,no,no,no
618,37,technician,married,professional_course,no,yes,no
619,41,admin,married,basic_9y,no,yes,no
620,46,admin,divorced,university_degree,no,yes,yes
621,47,technician,married,professional_course,no,no,no
622,35,technician,married,professional_course,no,no,no
623,38,services,married,high_school,unknown,no,no
624,30,blue-collar,single,,no,yes,yes
625,46,blue-collar,married,basic_9y,no,yes,no
626,30,technician,married,professional_course,no,no,no
627,35,services,single,basic_4y,no,no,no
628,58,admin,married,,unknown,yes,no
