,student_id,city,city_development_index,gender,relevant_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,job_change
26,17139,city_21,0.624,,Has relevant experience,Part time course,Graduate,STEM,14,500-999,Pvt Ltd,1,148,1
27,28476,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,Arts,5,,,2,72,0
28,21538,city_100,0.887,Male,Has relevant experience,no_enrollment,High School,,11,<10,Pvt Ltd,1,8,1
29,10408,city_21,0.624,Male,Has relevant experience,no_enrollment,Graduate,STEM,18,50-99,Funded Startup,2,68,1
30,14928,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,100-499,Pvt Ltd,3,40,0
31,22293,city_103,0.92,Male,Has relevant experience,Part time course,Graduate,STEM,19,5000-9999,Pvt Ltd,>4,141,0
32,4324,city_103,0.92,Female,No relevant experience,Full time course,Graduate,STEM,5,,,1,24,0
33,26966,city_160,0.92,Female,Has relevant experience,no_enrollment,Graduate,STEM,>20,100-499,Pvt Ltd,>4,82,0
34,26494,city_16,0.91,Male,Has relevant experience,no_enrollment,Graduate,Business Degree,12,5000-9999,Pvt Ltd,3,145,0
35,4866,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,10,10-49,Early Stage Startup,2,206,0
36,12726,city_114,0.926,Male,No relevant experience,Part time course,High School,,1,10000+,Other,1,152,0
37,10164,city_114,0.926,Male,Has relevant experience,no_enrollment,Phd,STEM,>20,100-499,Pvt Ltd,4,42,1
38,8612,city_103,0.92,,No relevant experience,no_enrollment,Graduate,STEM,12,,,4,50,0
39,24659,city_71,0.884,Male,No relevant experience,no_enrollment,,,3,,,never,106,0
40,2547,city_114,0.926,Female,Has relevant experience,Full time course,Masters,STEM,16,1000-4999,Public Sector,2,14,0
41,13854,city_104,0.924,Male,Has relevant experience,no_enrollment,High School,,4,10-49,Pvt Ltd,2,36,0
42,31654,city_21,0.624,,Has relevant experience,no_enrollment,Masters,STEM,6,50-99,Early Stage Startup,1,112,1
43,13643,city_64,0.6659999999999999,,No relevant experience,no_enrollment,Graduate,No Major,9,50-99,Pvt Ltd,never,108,0
44,5590,city_21,0.624,Male,Has relevant experience,Part time course,Masters,STEM,9,5000-9999,Pvt Ltd,3,7,1
45,22452,city_21,0.624,Female,No relevant experience,Full time course,Masters,STEM,5,,,never,26,1
46,9006,city_21,0.624,Male,Has relevant experience,no_enrollment,Graduate,STEM,5,100-499,Pvt Ltd,never,87,1
47,25987,city_103,0.92,Other,Has relevant experience,no_enrollment,Graduate,STEM,19,10000+,Public Sector,4,52,1
48,4476,city_101,0.5579999999999999,Male,Has relevant experience,no_enrollment,Graduate,No Major,15,,,>4,20,1
49,25103,city_83,0.923,Male,Has relevant experience,no_enrollment,Graduate,STEM,11,10-49,Pvt Ltd,1,21,0
50,5568,city_101,0.5579999999999999,Male,No relevant experience,no_enrollment,Graduate,STEM,4,,,1,92,1
51,2195,city_64,0.6659999999999999,Male,Has relevant experience,no_enrollment,Graduate,STEM,10,100-499,Pvt Ltd,2,102,0
52,30533,city_105,0.794,Male,No relevant experience,no_enrollment,Graduate,Humanities,5,10000+,Pvt Ltd,>4,26,0
53,28512,city_104,0.924,,Has relevant experience,no_enrollment,Masters,STEM,3,<10,Early Stage Startup,2,7,0
54,1023,city_114,0.926,Male,No relevant experience,Full time course,High School,,4,10000+,Pvt Ltd,1,43,0
55,12253,city_104,0.924,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,100-499,Pvt Ltd,1,45,0
56,25296,city_73,0.754,Male,Has relevant experience,Full time course,Graduate,STEM,2,50-99,Early Stage Startup,2,52,0
57,13238,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,,,2,19,0
58,13478,city_21,0.624,,Has relevant experience,Full time course,Graduate,STEM,2,10-49,Funded Startup,,32,1
59,18578,city_162,0.767,Male,Has relevant experience,no_enrollment,Graduate,Humanities,>20,100-499,Pvt Ltd,>4,26,1
60,29975,city_67,0.855,Male,Has relevant experience,Part time course,Graduate,STEM,6,,,1,90,0
61,26516,city_75,0.939,Male,Has relevant experience,no_enrollment,Graduate,STEM,6,100-499,Pvt Ltd,3,25,0
62,24690,city_41,0.8270000000000001,,Has relevant experience,,Masters,STEM,13,<10,,1,15,0
63,8433,city_100,0.887,Male,Has relevant experience,no_enrollment,Masters,Humanities,>20,100-499,Pvt Ltd,>4,48,0
64,9572,city_11,0.55,,No relevant experience,Full time course,High School,,3,,,,98,0
65,5878,city_93,0.865,Male,Has relevant experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,2,142,1
66,25695,city_67,0.855,Other,No relevant experience,no_enrollment,Masters,Humanities,4,10000+,Pvt Ltd,4,13,0
67,9645,city_16,0.91,Male,Has relevant experience,no_enrollment,Graduate,STEM,15,,,>4,47,0
68,12730,city_16,0.91,Female,Has relevant experience,no_enrollment,Masters,Humanities,14,500-999,Public Sector,1,28,0
69,4830,city_90,0.698,,No relevant experience,,,,2,,Pvt Ltd,never,228,1
70,20970,city_64,0.6659999999999999,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,,,4,22,0
71,17271,city_21,0.624,Male,No relevant experience,Full time course,Graduate,STEM,<1,,,never,18,1
72,12731,city_13,0.8270000000000001,Male,Has relevant experience,no_enrollment,Graduate,STEM,2,10-49,Pvt Ltd,1,29,0
73,10908,city_67,0.855,Male,Has relevant experience,no_enrollment,Masters,STEM,5,100-499,,1,46,0
74,29117,city_11,0.55,,No relevant experience,Full time course,Graduate,STEM,<1,,,never,12,0
75,3686,city_103,0.92,,Has relevant experience,no_enrollment,Graduate,STEM,5,100-499,Pvt Ltd,2,17,0
76,22683,city_36,0.893,Male,Has relevant experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,2,65,0
77,22134,city_103,0.92,Male,No relevant experience,no_enrollment,Graduate,Humanities,3,100-499,Pvt Ltd,1,35,0
78,31765,city_67,0.855,Male,No relevant experience,Full time course,Graduate,STEM,9,10000+,Pvt Ltd,3,14,0
79,31449,city_103,0.92,Female,Has relevant experience,no_enrollment,Masters,STEM,2,<10,Early Stage Startup,1,4,0
80,5987,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,12,0
81,21762,city_160,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,108,0
82,22070,city_103,0.92,Male,No relevant experience,no_enrollment,Graduate,STEM,>20,,,1,136,0
83,25413,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,5,10-49,,1,27,0
84,5902,city_20,0.7959999999999999,,Has relevant experience,Part time course,Masters,STEM,4,50-99,Funded Startup,1,74,0
85,28403,city_71,0.884,Male,Has relevant experience,no_enrollment,Graduate,STEM,15,10-49,Early Stage Startup,1,86,0
86,30937,city_57,0.866,Female,No relevant experience,Part time course,Graduate,STEM,<1,10-49,Pvt Ltd,2,83,0
87,28751,city_103,0.92,,No relevant experience,Full time course,High School,,4,,,3,75,0
88,29290,city_152,0.698,Male,No relevant experience,Full time course,Masters,STEM,11,,Public Sector,2,42,0
89,32401,city_103,0.92,Female,Has relevant experience,no_enrollment,Graduate,STEM,6,100-499,,1,332,0
90,19128,city_61,0.913,Male,No relevant experience,Full time course,Graduate,STEM,4,,,,140,0
91,29036,city_16,0.91,Male,No relevant experience,no_enrollment,High School,,3,,,never,182,0
92,16869,city_103,0.92,Female,No relevant experience,no_enrollment,Graduate,Humanities,3,100-499,Pvt Ltd,1,13,1
93,10497,city_19,0.682,,Has relevant experience,no_enrollment,Graduate,STEM,5,10-49,Pvt Ltd,2,172,1
94,18099,city_103,0.92,,Has relevant experience,no_enrollment,Graduate,STEM,10,100-499,NGO,1,48,0
95,12081,city_65,0.802,Male,Has relevant experience,Full time course,Graduate,STEM,9,50-99,Pvt Ltd,1,33,0
96,7364,city_160,0.92,,No relevant experience,Full time course,High School,,2,100-499,Pvt Ltd,1,142,0
97,11184,city_74,0.579,,No relevant experience,Full time course,Graduate,STEM,2,100-499,Pvt Ltd,1,34,0
98,7016,city_65,0.802,Male,Has relevant experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,2,14,1
99,8695,city_11,0.55,Male,Has relevant experience,no_enrollment,Graduate,STEM,6,10-49,Pvt Ltd,2,27,1
100,6172,city_11,0.55,Male,Has relevant experience,no_enrollment,Graduate,STEM,8,100-499,Pvt Ltd,1,24,1
101,14672,city_173,0.878,,No relevant experience,no_enrollment,Masters,STEM,>20,,,1,150,0
102,18257,city_103,0.92,Female,Has relevant experience,no_enrollment,Graduate,STEM,11,500-999,NGO,>4,20,0
103,24493,city_103,0.92,,Has relevant experience,no_enrollment,Graduate,STEM,5,500-999,,1,140,0
104,1180,city_16,0.91,Male,Has relevant experience,no_enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,1,52,0
105,28627,city_75,0.939,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,160,0
106,8168,city_136,0.897,Male,Has relevant experience,no_enrollment,Masters,STEM,9,5000-9999,Pvt Ltd,2,3,0
107,10473,city_21,0.624,Male,Has relevant experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,2,2,1
108,25349,city_16,0.91,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,28,0
109,5220,city_73,0.754,Male,Has relevant experience,no_enrollment,Graduate,Other,>20,,,4,46,0
110,4789,city_67,0.855,Male,Has relevant experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,210,0
111,11338,city_114,0.926,Male,Has relevant experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,1,36,0
112,27963,city_98,0.949,Male,No relevant experience,Full time course,Graduate,STEM,4,,,1,160,1
113,8571,city_21,0.624,Male,Has relevant experience,Full time course,Graduate,STEM,2,10-49,NGO,2,101,0
114,16303,city_114,0.926,Male,Has relevant experience,no_enrollment,Masters,STEM,6,50-99,,1,46,0
115,20576,city_97,0.925,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,19,0
116,32966,city_21,0.624,Male,Has relevant experience,no_enrollment,Graduate,STEM,3,100-499,Pvt Ltd,2,26,1
117,21199,city_90,0.698,,Has relevant experience,Full time course,Graduate,STEM,7,<10,NGO,1,90,0
118,18819,city_50,0.8959999999999999,Male,Has relevant experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,4,59,0
119,14199,city_160,0.92,Male,Has relevant experience,Part time course,Graduate,Business Degree,10,50-99,Funded Startup,1,260,0
120,7666,city_21,0.624,Female,Has relevant experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,>4,74,0
121,13915,city_16,0.91,Male,Has relevant experience,no_enrollment,Phd,STEM,>20,100-499,Pvt Ltd,2,20,1
122,10555,city_173,0.878,Male,Has relevant experience,no_enrollment,Graduate,STEM,12,100-499,Pvt Ltd,2,8,0
123,16040,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,6,100-499,Pvt Ltd,1,131,0
124,32826,city_138,0.836,Male,Has relevant experience,Full time course,Masters,STEM,7,,,1,45,0
125,13253,city_82,0.693,Male,Has relevant experience,Full time course,Graduate,STEM,11,10-49,Pvt Ltd,2,109,0
126,15637,city_67,0.855,Male,Has relevant experience,no_enrollment,Graduate,Humanities,3,100-499,Pvt Ltd,1,70,0
127,28074,city_103,0.92,Female,Has relevant experience,no_enrollment,Graduate,STEM,>20,100-499,NGO,>4,17,0
128,23012,city_103,0.92,Female,No relevant experience,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,1,51,0
129,16110,city_103,0.92,Female,Has relevant experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,3,60,1
130,3921,city_36,0.893,,No relevant experience,no_enrollment,Phd,STEM,>20,1000-4999,Public Sector,>4,4,0
131,24530,city_114,0.926,Male,No relevant experience,no_enrollment,Graduate,STEM,12,100-499,Pvt Ltd,>4,7,0
132,1924,city_102,0.804,,Has relevant experience,no_enrollment,Masters,STEM,>20,100-499,Pvt Ltd,3,164,0
133,32776,city_64,0.6659999999999999,Male,Has relevant experience,no_enrollment,Graduate,STEM,20,,,4,290,0
134,1907,city_102,0.804,Male,No relevant experience,no_enrollment,High School,,2,<10,NGO,never,145,0
135,23947,city_103,0.92,,No relevant experience,no_enrollment,Phd,STEM,,,,,70,0
136,3116,city_21,0.624,Male,No relevant experience,no_enrollment,,,3,,,1,24,0
137,24829,city_103,0.92,Male,No relevant experience,no_enrollment,Masters,Humanities,3,10000+,Pvt Ltd,1,133,1
138,30488,city_11,0.55,,No relevant experience,Full time course,Graduate,STEM,2,,,1,20,0
139,1265,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,10,<10,Funded Startup,1,76,0
140,22098,city_90,0.698,Female,No relevant experience,Full time course,Masters,STEM,5,,,4,21,1
141,13342,city_21,0.624,Female,Has relevant experience,no_enrollment,Graduate,Other,8,5000-9999,Pvt Ltd,2,34,0
142,24608,city_160,0.92,Male,No relevant experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,2,15,0
143,20081,city_57,0.866,Male,No relevant experience,no_enrollment,Graduate,STEM,>20,,,>4,156,0
144,24796,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,15,0
145,7777,city_114,0.926,,Has relevant experience,no_enrollment,Masters,STEM,>20,,,never,120,0
146,22718,city_157,0.769,,Has relevant experience,no_enrollment,Graduate,No Major,14,10000+,,>4,47,0
147,1261,city_73,0.754,Male,Has relevant experience,no_enrollment,Graduate,STEM,12,,,2,100,1
148,3396,city_67,0.855,Male,Has relevant experience,Part time course,Graduate,STEM,6,500-999,Pvt Ltd,never,102,0
149,4283,city_103,0.92,Male,No relevant experience,no_enrollment,High School,,4,,,never,52,0
150,18998,city_114,0.926,,Has relevant experience,no_enrollment,High School,,9,10-49,,4,39,0
151,2003,city_103,0.92,Male,Has relevant experience,Full time course,High School,,4,,,1,112,1
152,31786,city_103,0.92,Male,No relevant experience,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,>4,14,0
153,8241,city_16,0.91,,Has relevant experience,no_enrollment,,,11,,,1,4,0
154,12154,city_16,0.91,,Has relevant experience,no_enrollment,Masters,Arts,>20,1000-4999,NGO,>4,55,0
155,23455,city_21,0.624,Male,Has relevant experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,4,49,1
156,19882,city_16,0.91,Male,Has relevant experience,no_enrollment,Graduate,STEM,15,,,>4,72,0
157,28817,city_89,0.925,Male,Has relevant experience,Full time course,Graduate,STEM,14,5000-9999,Pvt Ltd,3,141,1
158,4656,city_114,0.926,Male,No relevant experience,no_enrollment,High School,,6,,Pvt Ltd,never,28,0
159,7280,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,1,6,0
160,16903,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,No Major,17,5000-9999,Pvt Ltd,1,125,0
161,13333,city_75,0.939,,Has relevant experience,no_enrollment,Graduate,STEM,>20,,,never,326,0
162,26241,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,Other,>20,100-499,Pvt Ltd,2,33,0
163,12381,city_102,0.804,,No relevant experience,no_enrollment,Masters,STEM,6,10000+,Pvt Ltd,>4,40,0
164,4064,city_160,0.92,,Has relevant experience,no_enrollment,Graduate,STEM,18,,,1,198,1
165,32092,city_103,0.92,Female,Has relevant experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,>4,55,0
166,3766,city_150,0.698,Male,No relevant experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,32,0
167,30496,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,Arts,>20,100-499,Pvt Ltd,>4,11,0
168,7189,city_73,0.754,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,1,41,0
169,29497,city_103,0.92,Male,Has relevant experience,no_enrollment,Masters,STEM,>20,10000+,Public Sector,>4,87,1
170,31593,city_67,0.855,Male,Has relevant experience,no_enrollment,Masters,STEM,10,100-499,Pvt Ltd,4,114,0
171,12384,city_70,0.698,,Has relevant experience,,,,>20,,,>4,33,0
172,11986,city_90,0.698,Male,Has relevant experience,Part time course,Masters,STEM,5,<10,Early Stage Startup,1,15,0
173,31033,city_16,0.91,,No relevant experience,Full time course,High School,,3,,,1,8,0
174,14835,city_173,0.878,Female,Has relevant experience,Part time course,High School,,2,100-499,NGO,1,22,0
175,3728,city_103,0.92,Male,Has relevant experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,4,13,0
176,3024,city_98,0.949,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,<10,Public Sector,1,246,0
177,23508,city_103,0.92,Male,Has relevant experience,no_enrollment,Masters,STEM,9,10-49,Pvt Ltd,1,22,0
178,29457,city_103,0.92,Male,Has relevant experience,no_enrollment,Masters,STEM,>20,<10,Funded Startup,1,81,0
179,12297,city_175,0.7759999999999999,,Has relevant experience,Full time course,Graduate,STEM,4,10-49,Funded Startup,1,11,0
180,27708,city_94,0.698,Male,No relevant experience,Full time course,Graduate,STEM,5,5000-9999,,,24,1
181,3065,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,100-499,Funded Startup,1,50,0
182,29226,city_104,0.924,Male,No relevant experience,Full time course,High School,,6,,,never,15,0
183,5493,city_28,0.939,Male,Has relevant experience,no_enrollment,Masters,STEM,>20,10-49,Pvt Ltd,>4,31,0
184,2891,city_114,0.926,Male,Has relevant experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,never,84,0
185,32509,city_136,0.897,Male,Has relevant experience,Part time course,Graduate,STEM,4,10000+,Pvt Ltd,1,42,0
186,31841,city_21,0.624,,Has relevant experience,no_enrollment,Graduate,STEM,10,10-49,Pvt Ltd,>4,105,1
187,907,city_103,0.92,Female,Has relevant experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,72,0
188,29526,city_115,0.789,Male,Has relevant experience,no_enrollment,Graduate,STEM,14,10-49,Pvt Ltd,>4,42,1
189,10956,city_94,0.698,Male,Has relevant experience,no_enrollment,Graduate,STEM,15,50-99,Early Stage Startup,1,152,0
190,26099,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,1,60,0
191,26163,city_21,0.624,Male,No relevant experience,Full time course,Masters,STEM,2,,,never,8,0
192,4120,city_16,0.91,Male,No relevant experience,Full time course,Masters,STEM,13,,,3,17,1
193,7335,city_83,0.923,Male,No relevant experience,no_enrollment,High School,,1,,,1,33,0
194,706,city_16,0.91,Male,Has relevant experience,no_enrollment,Masters,STEM,4,100-499,Funded Startup,never,38,0
195,9890,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,Humanities,14,<10,Early Stage Startup,2,178,0
196,32683,city_160,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,1,11,0
197,27104,city_36,0.893,Male,Has relevant experience,no_enrollment,High School,,>20,,,never,87,0
198,7731,city_65,0.802,Male,Has relevant experience,no_enrollment,Graduate,STEM,13,,,never,84,0
199,31943,city_71,0.884,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,100-499,Early Stage Startup,2,32,0
200,22899,city_100,0.887,,Has relevant experience,no_enrollment,Masters,STEM,9,100-499,Pvt Ltd,1,31,1
201,33339,city_21,0.624,Male,No relevant experience,no_enrollment,Graduate,STEM,2,500-999,Public Sector,1,39,0
202,20866,city_59,0.775,,Has relevant experience,no_enrollment,Graduate,STEM,7,10-49,Pvt Ltd,1,12,0
203,21634,city_21,0.624,,Has relevant experience,Full time course,Graduate,STEM,5,10000+,Pvt Ltd,1,50,0
204,29529,city_165,0.903,Male,Has relevant experience,no_enrollment,Graduate,STEM,3,100-499,Pvt Ltd,1,55,1
205,4478,city_11,0.55,,Has relevant experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,,7,1
206,32095,city_103,0.92,Male,Has relevant experience,no_enrollment,Masters,Humanities,2,50-99,Early Stage Startup,1,104,0
207,18272,city_160,0.92,,Has relevant experience,Full time course,Graduate,Business Degree,>20,,,>4,90,1
208,30098,city_103,0.92,Male,Has relevant experience,no_enrollment,Masters,Other,>20,100-499,Pvt Ltd,>4,8,0
209,23825,city_21,0.624,Male,No relevant experience,Full time course,Graduate,STEM,2,,,never,102,0
210,7672,city_21,0.624,,Has relevant experience,no_enrollment,Masters,STEM,<1,10-49,Pvt Ltd,1,202,1
211,5633,city_145,0.555,,Has relevant experience,no_enrollment,Graduate,STEM,4,100-499,Pvt Ltd,1,22,0
212,30695,city_21,0.624,Male,No relevant experience,Full time course,Graduate,STEM,3,,Pvt Ltd,never,42,0
213,5573,city_160,0.92,,No relevant experience,no_enrollment,Primary School,,4,,Pvt Ltd,never,50,0
214,24936,city_21,0.624,Male,Has relevant experience,no_enrollment,Masters,STEM,3,50-99,Funded Startup,1,88,0
215,397,city_73,0.754,,Has relevant experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,4,81,0
216,31602,city_103,0.92,Male,Has relevant experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,1,7,0
217,5278,city_21,0.624,Male,No relevant experience,no_enrollment,,,3,,Pvt Ltd,never,218,0
218,16814,city_16,0.91,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,62,0
219,19249,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1,83,0
220,9475,city_28,0.939,Male,Has relevant experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,>4,11,0
221,4865,city_114,0.926,Male,No relevant experience,Part time course,Phd,STEM,>20,50-99,,>4,10,0
222,20881,city_28,0.939,Male,Has relevant experience,no_enrollment,Masters,STEM,10,1000-4999,Pvt Ltd,1,114,0
223,21563,city_21,0.624,,Has relevant experience,no_enrollment,Masters,STEM,3,50-99,Pvt Ltd,1,36,0
224,25114,city_102,0.804,,No relevant experience,,Masters,STEM,6,10-49,Pvt Ltd,1,17,0
225,26002,city_16,0.91,Male,No relevant experience,Full time course,Graduate,STEM,2,,,never,80,1
226,8528,city_160,0.92,Male,Has relevant experience,Part time course,Graduate,STEM,>20,50-99,Public Sector,>4,108,0
227,6141,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,2,100-499,Pvt Ltd,2,45,0
228,27667,city_103,0.92,Male,No relevant experience,Full time course,Graduate,STEM,5,,,never,77,0
229,2821,city_114,0.926,Male,Has relevant experience,no_enrollment,Masters,STEM,15,100-499,Pvt Ltd,2,8,0
230,21216,city_173,0.878,,No relevant experience,no_enrollment,Graduate,STEM,5,,,1,28,0
231,25495,city_142,0.727,Female,Has relevant experience,no_enrollment,Graduate,STEM,9,100-499,Funded Startup,>4,37,0
232,20791,city_16,0.91,,No relevant experience,Full time course,Graduate,STEM,2,,,2,108,1
233,28015,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,13,500-999,Pvt Ltd,2,162,0
234,10685,city_73,0.754,,Has relevant experience,Full time course,High School,,9,,,>4,41,0
235,405,city_165,0.903,Male,Has relevant experience,no_enrollment,Masters,STEM,19,100-499,Pvt Ltd,4,4,0
236,13891,city_71,0.884,Female,No relevant experience,no_enrollment,Phd,STEM,3,1000-4999,Public Sector,1,41,0
237,33050,city_165,0.903,,Has relevant experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,2,12,0
238,399,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,190,0
239,8202,city_21,0.624,,Has relevant experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,>4,29,1
240,8751,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,6,100-499,Public Sector,1,11,0
241,20744,city_103,0.92,Male,No relevant experience,Full time course,High School,,3,10000+,Pvt Ltd,1,30,0
242,25380,city_103,0.92,Male,Has relevant experience,no_enrollment,Masters,STEM,13,100-499,,>4,39,0
243,24617,city_102,0.804,Male,Has relevant experience,Full time course,High School,,9,,,1,16,0
244,12509,city_114,0.926,Male,No relevant experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,5,0
245,25473,city_26,0.698,Male,No relevant experience,Full time course,High School,,8,,,never,39,0
246,13083,city_114,0.926,Male,Has relevant experience,no_enrollment,Masters,STEM,10,50-99,Pvt Ltd,>4,29,0
247,12454,city_21,0.624,,Has relevant experience,Full time course,Masters,STEM,4,50-99,NGO,2,210,0
