code	lc	product_name_de	product_name_en	product_name_es	product_name_fr	product_name_ru	generic_name_en	generic_name_es	generic_name_ru	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_fr	ingredients_text_ru	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	energy_value	energy_unit	trans-fat_value	trans-fat_unit	cholesterol_value	cholesterol_unit	vitamin-a_value	vitamin-a_unit	vitamin-c_value	vitamin-c_unit	potassium_value	potassium_unit	calcium_value	calcium_unit	iron_value	iron_unit	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	off:ecoscore_data.adjustments.threatened_species.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	data_sources
8904063257581	en		Lite Mixture				Diet 			42g	50g	Plastic	en:plastic	Haldiram's	haldiram-s		Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Condiments, Fruits and vegetables based foods, Cereals and their products, Culinary plants, Vegetables based foods, Breakfast cereals, Fresh foods, Spices, Vegetable rods, Flakes, Fresh plant-based foods, Cereal flakes, Extruded cereals, Extruded flakes, Fresh vegetables, Cardamom, Celery, Corn flakes, Ginger, Cardamom powder, Cinnamon, Cinnamon powder, Ginger powder, Acidity-regulator, Black-cumin, Black-salt-powder, Clove-powder, Cotton-seed-oil, Cumin-seed-powder, Dry-mango-powder, Edible-common-salt, Edible-vegetable-oil, Flaked-rice, Groceries, Mint-leaves-powder, Plamolein-oil, Pomegranate-seed-powder, Red-chilli-powder, Turmeic-powder	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:condiments,en:fruits-and-vegetables-based-foods,en:cereals-and-their-products,en:culinary-plants,en:vegetables-based-foods,en:breakfast-cereals,en:fresh-foods,en:spices,en:vegetable-rods,en:flakes,en:fresh-plant-based-foods,en:cereal-flakes,en:extruded-cereals,en:extruded-flakes,en:fresh-vegetables,en:cardamom,en:celery,en:corn-flakes,en:ginger,en:cardamom-powder,en:cinnamon,en:cinnamon-powder,en:ginger-powder,en:acidity-regulator,en:black-cumin,en:black-salt-powder,en:clove-powder,en:cotton-seed-oil,en:cumin-seed-powder,en:dry-mango-powder,en:edible-common-salt,en:edible-vegetable-oil,en:flaked-rice,en:groceries,en:mint-leaves-powder,en:plamolein-oil,en:pomegranate-seed-powder,en:red-chilli-powder,en:turmeic-powder			India	en:india			0		Acidity Regulator, Black Cumin, Black Salt Powder, Cardamom Powder, Celery, Cinnamon Powder, Clove Powder, Corn Flakes, Cotton Seed Oil, Cumin Seed Powder, Dry Mango Powder, Edible Common Salt, Edible Vegetable Oil, Flaked Rice, Ginger Powder, Mint Leaves Powder, Plamolein Oil, Pomegranate Seed Powder, Red Chilli Powder, Turmeic Powder	en:acidity-regulator,en:black-cumin,en:black-salt-powder,en:cardamom-powder,en:celery,en:cinnamon-powder,en:clove-powder,en:corn-flakes,en:cotton-seed-oil,en:cumin-seed-powder,en:dry-mango-powder,en:edible-common-salt,en:edible-vegetable-oil,en:flaked-rice,en:ginger-powder,en:mint-leaves-powder,en:plamolein-oil,en:pomegranate-seed-powder,en:red-chilli-powder,en:turmeic-powder						Flaked Rice(46%),Edible Vegetable Oil(Palmolein/Cotton Seed),Black chickpea(14%),Edible Common Salt,Corn Flakes(6.5%),Black Salt Powder,Cumin Seed Powder, Turmeric Powder,Pomegranate Seed Powder,Dry Mango Powder,Ginger Powder,Cinnamon Powder,Celery,Mint Leaves Powder,Cardamom Powder,Black Cumin,Red Chilli Powder,Clove Powder,Acidity Regulator				Celery	en:celery				100g	100g			504	kcal	28	g	15	g	50	g	2	g			13	g					504	kcal																en:breakfast-cereals	en:cereals-and-potatoes,en:breakfast-cereals	3	en:3-processed-foods			not-applicable															App - smoothie-openfoodfacts, Apps
9310412002914	en		Natural sea salt flakes																		Australia	en:australia			0																		100g	100g																																									unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
4088600474021	en		Salt and Vinegar No Fish Fillets				Vegan fillets made with rice flake, coated in a salt and vinegar flavoured batter			224g	104g			Plant menu	plant-menu		Plant-based foods and beverages, Plant-based foods, Meat alternatives, Meat analogues, Breaded products, Breaded fish substitutes	en:plant-based-foods-and-beverages,en:plant-based-foods,en:meat-alternatives,en:meat-analogues,en:breaded-products,en:breaded-fish-substitutes	Vegetarian, No artificial flavors, No artificial preservatives, Vegan, No artificial colors, No artificial colours or flavours	en:vegetarian,en:no-artificial-flavors,en:no-artificial-preservatives,en:vegan,en:no-artificial-colors,en:no-artificial-colours-or-flavours	United Kingdom	en:united-kingdom	Aldi	aldi	0									Water, Wheat Flour (_Wheat_ Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Rice Flake, Rapeseed Oil, Flavouring, Potato Starch, Thickeners (Sodium Alginate, Methyl Cellulose=, Potato Flakes, _Barley_ Malt Vinegar, Dextrose, Salt, Acidity Regulators )Sodium Acetate, Citric Acid), Lemon Juice, Plant Fibres (Orange, Lime, Lemon, Pea, Apple), Maize Flour, Sea Salt, _Wheat_ Gluten, Raising Agents (Diphosphates, Sodium Carbonates, Ammonium Carbonates), _Wheat_ Starch, Sunflower Oil, Sugar, Colour (Paprika Extract).				Gluten	en:gluten				100g	100g	1048	kJ	251	kcal	14.6	g	2	g	25.6	g	0.8	g	3.1	g	2.9	g	1.1	g	0.44	g	1048	kJ																		4	en:4-ultra-processed-food-and-drink-products	c	4	unknown		1		-5	-15	1	0								App - Yuka, Apps, App - Open Food Facts
9348479000000	en		Sea Salt Flakes							250 g				Tasman Sea Salt	tasman-sea-salt						Australia	en:australia			0																	null	100g	100g																																									unknown			unknown		1		-5	-15	1	0								App - smoothie-openfoodfacts, Apps
9310645272610	en		Toasted coconut flakes with sea salt											Coles	coles						Australia	en:australia			0																		100g	100g			673.33333333333	kcal	65.666666666667	g	62.666666666667	g	9.3333333333333	g	5.6666666666667	g	12.333333333333	g	7.3333333333333	g	1.525	g	0.61	g	673.33333333333	kcal																			unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
9310645214177	en		Sea salt flakes											Coles	coles						Australia	en:australia			0																		100g	100g																																									unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
0072080015700	en		Vinegar and Salt Potato Chips								1 ONZ (28 g)			Golden Flake	golden-flake	UTZ Quality Foods, LLC	Snacks	en:snacks			United States	en:united-states			0									Potatoes, vegetable oil (may contain one or more of the following: cottonseed oil, palm oil, corn oil, canola oil, and/or soybean oil), salt, lactose, sodium diacetate, malic acid, citric acid, fumaric acid, soybean oil.				Soybeans	en:soybeans	Milk	en:milk		100g	100g			535.71428571429	kcal	32.142857142857	g	10.714285714286	g	57.142857142857	g	3.5714285714286	g	3.5714285714286	g	7.1428571428571	g	3.3928571428573	g	1.35714285714292	g	535.71428571429	kcal	0	g	0	mg					1214	mg	36	mg	1.43	mg				4	en:4-ultra-processed-food-and-drink-products	e	23	unknown		1		-5	-15	1	0	-10	2020-02-24T00:00:00Z	Chips, Pretzels & Snacks	LI	806143	2020-02-24T00:00:00Z	2020-04-01T00:00:00Z	Databases, database-usda, App - yuka, Apps
0052100051741	en		Coarse Black Pepper & Flake Salt House Blend											Mccormick	mccormick						United States	en:united-states			0																		100g	100g																																									unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
0813735015504	es			Crystal Flakes Natural Sea Salt Wild Garlic																	España	en:spain			0																		100g	100g																																									unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
5011428300035	en		Sea Salt Flakes		Sea Salt Flakes					125g		Box	en:box	Maldon	maldon		Condiments, Salts, Groceries	en:condiments,en:salts,en:groceries	Kosher, No additives	en:kosher,en:no-additives	Australia, France, Norway, Spain	en:australia,en:france,en:norway,en:spain	Woolworths	woolworths	0									Sea Salt Flakes									100g	100g			0	kcal	0	g	0	g	0	g	0	g	0	g	0	g	97.5	g	39	g	0	kcal																		2	en:2-processed-culinary-ingredients			b	78	1	11017	-5	-15	1	0								App - elcoco, App - yuka, Apps, App - El CoCo, App - Open Food Facts
0859402007298	en		Australian flake sea salt																		United States	en:united-states			0																		100g	100g																																									unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
0847972000245	en		Maldon Sea Salt Flakes																		United States	en:united-states			0																		100g	100g																																									unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
0813735015924	en		Citron sea salt flakes options								0.25 tsp (1.5 g)			Crystal,  Falksalt	crystal,falksalt	FALKSALT	Condiments, Groceries	en:condiments,en:groceries			United States	en:united-states			0									Salt (sodium chloride min.98%), turmeric, lemon aroma									100g	100g			0	kcal	0	g	0	g	0	g	0	g	0	g	0	g	96.6675	g	38.667	g	0	kcal	0	g	0	mg														4	en:4-ultra-processed-food-and-drink-products	c	10	unknown		1		-5	-15	1	0		2018-09-08T00:00:00Z	Seasoning Mixes, Salts, Marinades & Tenderizers	LI	383619	2018-09-08T00:00:00Z	2019-04-01T00:00:00Z	Databases, database-usda, Database - USDA NDB, App - Yuka, Apps
0812907015496	en		Himalania Pink Salt Flakes							4 oz	1/4 tsp (1.4 g)					Brandstorm Inc	Condiments, Groceries	en:condiments,en:groceries			United States	en:united-states			0									Pink salt flakes									100g	100g			0	kcal	0	g			0	g					0	g					0	kcal																		3	en:3-processed-foods			unknown		1		-5	-15	1	0		2020-02-18T00:00:00Z	Seasoning Mixes, Salts, Marinades & Tenderizers	LI	803865	2020-02-18T00:00:00Z	2020-04-01T00:00:00Z	Databases, database-usda, App - Yuka, Apps
9332191000011	en	Murray River Salt	Murray River Salt Flakes							250g											Germany, Ireland	en:germany,en:ireland			0																		100g	100g																																									unknown			unknown		1		-5	-15	1	0								App - Speisekammer, Apps, App - Yuka
5060165580996	en		Sea Flakes Milk Chocolate with Sea Salt							50g	50g	Container	en:container	Willie's Cacao	willie-s-cacao		Snacks, Sweet snacks, Cocoa and its products, Chocolates, Milk chocolates, Chocolates with hazelnuts, Milk chocolates with hazelnuts	en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:milk-chocolates,en:chocolates-with-hazelnuts,en:milk-chocolates-with-hazelnuts			United Kingdom	en:united-kingdom			0																		100g	100g	2420	kJ	581	kcal	40.1	g	24.5	g	45.2	g	39.5	g			8.6	g	0.7	g	0.28	g	2420	kJ																en:chocolate-products	en:sugary-snacks,en:chocolate-products		unknown	e	28	d	23		31018	-5	-10	0	0								App - yuka, Apps, App - Open Food Facts
0021248185878	en		Kosher Flake Salt																		United States	en:united-states			0																		100g	100g																																									unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
9310412003195	en		Iodised sea salt flakes														Condiments, Groceries	en:condiments,en:groceries			Australia	en:australia			0																		100g	100g																																												unknown		1		-5	-15	1	0								App - Yuka, Apps
0728060120024	en		Celtic sea salt flake river salt														Condiments, Groceries	en:condiments,en:groceries			United States	en:united-states			0																		100g	100g																																									unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
4600935300235	ru					"Хлопья гречневые"			"гречневые хлопья, варить 3 минуты"	400 g	100 g	"Пластик, Полипропилен, 21 PAP, Картонная коробка, Пакет из полипропилена"	"en:plastic,en:pp-polypropylene,da:pap-21,ru:картонная-коробка,ru:пакет-из-полипропилена"	"Русский завтрак"	"русский-завтрак"		"Еда и напитки из растительного сырья, Еда из растительного сырья, На завтрак, Зерновые и картофель, Зерновые продукты, Хлопья к завтраку, Хлопья, en:Cereal flakes, en:Buckwheat flakes, Хлопья гречневые"	"en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals,en:flakes,en:cereal-flakes,en:buckwheat-flakes,ru:хлопья-гречневые"	"en:Low or no salt, Низкое содержание сахара или без сахара, 100% натуральное, EAC, Без соли, Без сахара, Без пищевых добавок, Без соли сахара и пищевых добавок, ТУ 9295-015-33150217-2000"	"en:low-or-no-salt,en:low-or-no-sugar,en:100-natural,en:eac,en:no-salt,en:no-sugar,ru:без-пищевых-добавок,ru:без-соли-сахара-и-пищевых-добавок,ru:ту-9295-015-33150217-2000"	"Россия"	en:russia			0				"Санкт-Петербург,Россия"	"санкт-петербург,россия"							"хлопья гречневые 100 %"						100g	100g			340	kcal	3.5	g	0	g	64	g	0	g	0	g	13	g	0	g	0	g	340	kcal			0	g											http://www.afg-national.ru/production/own-brands/russian-breakfast/flakes/	en:breakfast-cereals	en:cereals-and-potatoes,en:breakfast-cereals		unknown	a	-1	d	31		32135	-5	-9	0	0								
5941634001085	es			Gluten Free Fruit Mix Granola Bars				Barritas de cereales con copos multi granos y mezcla de frutas - Fruit mix granola bars with multigrain flakes		141,75 g (5 x 28,35 g)	1 barrita 28,35 g	Caja de cartón, Envase metalizado	es:caja-de-carton,es:envase-metalizado	Sam Mills	sam-mills		Botanas, Snacks dulces, Barritas, Barritas de cereales, en:Fruits cereal bars	en:snacks,en:sweet-snacks,en:bars,en:cereal-bars,en:fruits-cereal-bars	Bajo en sal o sin sal, Bajo en sal, Vegetariano, Sin gluten, Sin OMG, Vegano	en:low-or-no-salt,en:low-salt,en:vegetarian,en:no-gluten,en:no-gmos,en:vegan	España	en:spain	Carrefour	carrefour	0				Rumanía	rumania	FABRICANTE Y ENVASADOR:,S.C. SAM MILLS S.R.L.,PERTENECIENTE A:,SAM MILLS GROUP	fabricante-y-envasador,s-c-sam-mills-s-r-l,perteneciente-a,sam-mills-group			_Cacahuetes_ tostados, azúcar invertida (glucosa, fructosa), copos multicereales (arroz, maíz, azúcar, sal), crispies de arroz (arroz, azúcar, sal), pasas, dextrosa, sirope de maíz con alto contenido en maltosa, arándanos endulzados deshidratados (arándanos, azúcar , aceite de girasol), albaricoques deshidratados, _almendras_, emulgente: lecitina de _soja_ (E-322).			Frutos de cáscara, Cacahuetes, Soja	en:nuts,en:peanuts,en:soybeans	Frutos de cáscara, Dióxido de azufre y sulfitos	en:nuts,en:sulphur-dioxide-and-sulphites		100g	100g	1703	kJ			12	g	1.5	g	67	g	41	g	4	g	7	g	0.33	g	0.132	g	1703	kJ															http://www.sammills.eu/en/products-line/	en:biscuits-and-cakes	en:sugary-snacks,en:biscuits-and-cakes	4	en:4-ultra-processed-food-and-drink-products	d	12	c	58		31113	-5	-10	0	0								
5941634001061	es			Gluten Free Blueberry Granola Bars				Barritas de cereales con copos multi granos y arándanos - Blueberry mix granola bars with multigrain flakes		141,75 g (5 x 28,35 g)	1 barrita 28,35 g	Caja de cartón, Envase metalizado	es:caja-de-carton,es:envase-metalizado	Sam Mills	sam-mills		Botanas, Snacks dulces, Barritas, Barritas de cereales, en:Fruits cereal bars	en:snacks,en:sweet-snacks,en:bars,en:cereal-bars,en:fruits-cereal-bars	Bajo en sal o sin sal, Bajo en sal, Vegetariano, Sin gluten, Sin OMG, Vegano	en:low-or-no-salt,en:low-salt,en:vegetarian,en:no-gluten,en:no-gmos,en:vegan	España	en:spain	Carrefour	carrefour	0				Rumanía	rumania	FABRICANTE Y ENVASADOR:,S.C. SAM MILLS S.R.L.,PERTENECIENTE A:,SAM MILLS GROUP	fabricante-y-envasador,s-c-sam-mills-s-r-l,perteneciente-a,sam-mills-group			_Cacahuetes_ tostados, pasas, azúcar invertida (glucosa, fructosa), copos multicereales (arroz, maíz, azúcar, sal), arroz inflado (arroz, azúcar, sal), arándanos deshidratados y endulzados (arándanos, concentrado de jugo de arándano, azúcar , aceite de girasol), _almendras_, dextrosa, jarabe de maíz con alto contenido en maltosa, emulgente: lecitina de _soja_ (E-322).			Frutos de cáscara, Cacahuetes, Soja	en:nuts,en:peanuts,en:soybeans	Frutos de cáscara	en:nuts		100g	100g	2011	kJ			23	g	2.5	g	54	g	30	g	4	g	12	g	0.26	g	0.104	g	2011	kJ															http://www.sammills.eu/en/products-line/	en:biscuits-and-cakes	en:sugary-snacks,en:biscuits-and-cakes	4	en:4-ultra-processed-food-and-drink-products	d	11	c	58		31113	-5	-10	0	0								
5060155200132	fr				Cornish Sea Salt Co Sea Salt Flakes							en:pp-tub	en:pp-tub								France	en:france			0																		100g	100g																																									unknown			unknown				-5	-8	0	0								App - yuka, Apps, App - Horizon
0847972000009	en		Sea salt flakes								0.25 tsp (1.5 g)			Maldon	maldon	Maldon Crystal Salt Co Ltd	Condiments, Groceries	en:condiments,en:groceries			United States	en:united-states			0									Sea salt flakes with no additives									100g	100g			0	kcal	0	g	0	g	0	g	0	g			0	g	0	g	0	g	0	kcal	0	g																	unknown	b	0	unknown		1		-5	-15	1	0		2018-06-07T00:00:00Z	Seasoning Mixes, Salts, Marinades & Tenderizers	LI	377064	2018-06-07T00:00:00Z	2019-04-01T00:00:00Z	Databases, database-usda, App - yuka, Apps, Database - USDA NDB
9332191000202	de		Salt Flakes							120gr	null			Murray River Gourmet	murray-river-gourmet						Deutschland	en:germany			0																		100g	100g																																									unknown			unknown		1		-5	-15	1	0								
0812907015281	en		White salt flakes								1/4 tsp (1.6 g)					Brandstorm Inc	Condiments, Groceries	en:condiments,en:groceries			United States	en:united-states			0									White salt flakes									100g	100g			0	kcal	0	g			0	g					0	g	98437.5	mg	39375	mg	0	kcal																			unknown			unknown		1		-5	-15	1	0		2020-02-18T00:00:00Z	Seasoning Mixes, Salts, Marinades & Tenderizers	LI	802235	2020-02-18T00:00:00Z	2020-04-01T00:00:00Z	Databases, database-usda
0812907015250	en		Pink salt flakes								1/4 tsp (1.4 g)					Brandstorm Inc	Condiments, Groceries	en:condiments,en:groceries			United States	en:united-states			0									Pink salt flakes									100g	100g			0	kcal	0	g			0	g					0	g	89285	mg	35714	mg	0	kcal																		3	en:3-processed-foods			unknown		1		-5	-15	1	0		2018-10-04T00:00:00Z	Seasoning Mixes, Salts, Marinades & Tenderizers	LI	595696	2018-10-04T00:00:00Z	2019-04-01T00:00:00Z	Databases, database-usda
0021130101016	en		A traditional beef dish with carrots, peas & onions in a hearty sauce topped with mashed potatoes, beef shepherd's pie				Beef, potatoes, water, milk (whole milk, vitamin d), carrots, dairy blend (skim milk, cream, gelatin), onion, baby peas, soy protein (soy protein concentrate), burgundy wine, beef flavor (roasted beef including beef juices, salt, flavoring, potato flour, caramel color, corn oil and paprika), unsalted butter (sweet cream, natural flavoring), cream cheese (pasteurized milk and cream, cheese culture, salt, stabilizers [carob bean and/or xanthan and/or guar gums]), modified cornstarch, tomato paste (tomato paste, less than 2% of: spices, natural flavors, citric acid), sea salt, flour (bleached wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), garlic, natural flavorings (dextrose, natural flavors [including autolyzed yeast extract, garlic and onion powders], salt), dijon mustard (distilled vinegar, water, mustard seed, salt, chardonnay wine, citric acid, spices and turmeric), sugar, potato flakes (potatoes, less than 2% of the following				1 cup (227 g)					Safeway, Inc.	Frozen foods	en:frozen-foods			United States	en:united-states			0									Monoglycerides, sodium acid pyrophosphate, citric acid), xanthan gum, black pepper, thyme, caramel coloring, rosemary, gelatin.									100g	100g			154	kcal	8.37	g	3.96	g	11.45	g	1.76	g	0	g	7.93	g	1067.5	mg	427	mg	154	kcal	0.44	g	26	mg					145	mg	66	mg	1.32	mg				4	en:4-ultra-processed-food-and-drink-products	c	4	unknown		1		-5	-15	1	0		2019-03-18T00:00:00Z	Frozen Dinners & Entrees	LI	681798	2019-03-18T00:00:00Z	2019-12-06T00:00:00Z	Databases, database-usda
0072080046605	en		Vinegar & salt chicharrones fried pork skins, vinegar & salt								1/2 ONZ (14 g)			Golden Flake	golden-flake	Golden Flake Snack Foods, Inc.	Snacks	en:snacks			United States	en:united-states			0									Fried pork skins, lactose, salt, sodium diacetate, malic acid, citric acid, fumaric acid, soybean oil.				Milk, Soybeans	en:milk,en:soybeans				100g	100g			571	kcal	35.71	g	14.29	g	0	g	0	g	0	g	57.14	g	2817.5	mg	1127	mg	571	kcal	0	g	107	mg	0	IU	0	mg	92	mg	14	mg	0	mg				4	en:4-ultra-processed-food-and-drink-products	e	27	unknown		1		-5	-15	1	0		2019-09-28T00:00:00Z	Other Snacks	LI	644826	2019-09-28T00:00:00Z	2019-12-06T00:00:00Z	Databases, database-usda, Database - USDA NDB
