"id","year","product_name","company","country","industry_group","weight_kg","carbon_footprint_pcf","upstream_percent_total_pcf","operations_percent_total_pcf","downstream_percent_total_pcf"
"10661-1-2014",2014,"501® Original Jeans – Dark Stonewash","Levi Strauss & Co.","USA","Consumer Durables & Apparel",0.997,16,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-1-2015",2015,"501® Original Jeans – Dark Stonewash","Levi Strauss & Co.","USA","""Textiles, Apparel, Footwear and Luxury Goods""",0.997,16,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-1-2016",2016,"501® Original Jeans – Dark Stonewash","Levi Strauss & Co.","USA","Consumer Durables & Apparel",0.997,16,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-2-2014",2014,"Slim Straight 514™ Jeans – Indigo Wash","Levi Strauss & Co.","USA","Consumer Durables & Apparel",0.68,8.6,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-2-2015",2015,"Slim Straight 514™ Jeans – Indigo Wash","Levi Strauss & Co.","USA","""Textiles, Apparel, Footwear and Luxury Goods""",0.68,8.6,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-2-2016",2016,"Slim Straight 514™ Jeans – Indigo Wash","Levi Strauss & Co.","USA","Consumer Durables & Apparel",0.88,8.6,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-3-2014",2014,"Slim Straight 514™ Jeans – Rigid Tank","Levi Strauss & Co.","USA","Consumer Durables & Apparel",0.68,7.7,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-3-2015",2015,"Slim Straight 514™ Jeans – Rigid Tank","Levi Strauss & Co.","USA","""Textiles, Apparel, Footwear and Luxury Goods""",0.68,7.7,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-3-2016",2016,"Slim Straight 514™ Jeans – Rigid Tank","Levi Strauss & Co.","USA","Consumer Durables & Apparel",0.88,7.7,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-4-2014",2014,"501® Original Jeans – Light Stonewash","Levi Strauss & Co.","USA","Consumer Durables & Apparel",0.997,15,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-4-2015",2015,"501® Original Jeans – Light Stonewash","Levi Strauss & Co.","USA","""Textiles, Apparel, Footwear and Luxury Goods""",0.997,15,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-5-2014",2014,"501® Original Jeans – Medium Stonewash","Levi Strauss & Co.","USA","Consumer Durables & Apparel",0.997,16,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-5-2015",2015,"501® Original Jeans – Medium Stonewash","Levi Strauss & Co.","USA","""Textiles, Apparel, Footwear and Luxury Goods""",0.997,16,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-6-2014",2014,"Slim Straight 514™ Jeans – Tumbled Rigid","Levi Strauss & Co.","USA","Consumer Durables & Apparel",0.68,16,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-6-2015",2015,"Slim Straight 514™ Jeans – Tumbled Rigid","Levi Strauss & Co.","USA","""Textiles, Apparel, Footwear and Luxury Goods""",0.68,16,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-7-2014",2014,"Regular Straight 505® Jeans – Range (Water<Less™)","Levi Strauss & Co.","USA","Consumer Durables & Apparel",0.7665,16,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"1198-2-2014",2014,"USB software","""Autodesk, Inc.""","USA","Software & Services",0.0085,2.29,"67.61%","2.22%","30.17%"
"10661-7-2015",2015,"Regular Straight 505® Jeans – Range (Water<Less™)","Levi Strauss & Co.","USA","""Textiles, Apparel, Footwear and Luxury Goods""",0.7665,16,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-8-2014",2014,"Regular Straight 505® Jeans – Range","Levi Strauss & Co.","USA","Consumer Durables & Apparel",0.7665,16,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-8-2015",2015,"Regular Straight 505® Jeans – Range","Levi Strauss & Co.","USA","""Textiles, Apparel, Footwear and Luxury Goods""",0.7665,16,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-9-2014",2014,"Regular Straight 505® Jeans – House Cat","Levi Strauss & Co.","USA","Consumer Durables & Apparel",0.7665,15,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-9-2015",2015,"Regular Straight 505® Jeans – House Cat","Levi Strauss & Co.","USA","""Textiles, Apparel, Footwear and Luxury Goods""",0.7665,16,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-10-2014",2014,"MS315DN - Mono Laser Printer","""Lexmark International, Inc.""","USA","Technology Hardware & Equipment",16.03449,1616.172,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-11-2014",2014,"MS410DN - Mono Laser Printer","""Lexmark International, Inc.""","USA","Technology Hardware & Equipment",15.898413,1523.19,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-1-2014",2014,"CX310DN - Color Laser Printer","""Lexmark International, Inc.""","USA","Technology Hardware & Equipment",31.365912,2358.38,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-12-2014",2014,"MS415DN - Mono Laser Printer","""Lexmark International, Inc.""","USA","Technology Hardware & Equipment",16.03449,1524.56,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-13-2014",2014,"MS510DN - Mono Laser Printer","""Lexmark International, Inc.""","USA","Technology Hardware & Equipment",16.66952,1617.69,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-14-2014",2014,"MS610DE - Mono Laser Printer","""Lexmark International, Inc.""","USA","Technology Hardware & Equipment",18.37049,1978.08,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-15-2014",2014,"MS610DN - Mono Laser Printer","""Lexmark International, Inc.""","USA","Technology Hardware & Equipment",17.576704,1957.73,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-16-2014",2014,"MS810DE - Mono Laser Printer","""Lexmark International, Inc.""","USA","Technology Hardware & Equipment",27.4877,2106.94,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-17-2014",2014,"MS810DN - Mono Laser Printer","""Lexmark International, Inc.""","USA","Technology Hardware & Equipment",27.44234,2005.36,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-18-2014",2014,"MS811DN - Mono Laser Printer","""Lexmark International, Inc.""","USA","Technology Hardware & Equipment",27.44234,2387.57,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-19-2014",2014,"MS812DE - Mono Laser Printer","""Lexmark International, Inc.""","USA","Technology Hardware & Equipment",27.75985,2744.39,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-20-2014",2014,"MS812DN - Mono Laser Printer","""Lexmark International, Inc.""","USA","Technology Hardware & Equipment",27.44234,2747.47,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-21-2014",2014,"MX310DN - Mono Laser Printer","""Lexmark International, Inc.""","USA","Technology Hardware & Equipment",22.45282,1140.41,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-2-2014",2014,"CX410DE - Color Laser Printer","""Lexmark International, Inc.""","USA","Technology Hardware & Equipment",31.365912,3236.35,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-22-2014",2014,"MX410DE - Mono Laser Printer","""Lexmark International, Inc.""","USA","Technology Hardware & Equipment",23.019813,1498.6,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-23-2014",2014,"MX511DE - Mono Laser Printer","""Lexmark International, Inc.""","USA","Technology Hardware & Equipment",25.4012,1678.97,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-24-2014",2014,"MX611DE - Mono Laser Printer","""Lexmark International, Inc.""","USA","Technology Hardware & Equipment",28.03201,2132.34,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-25-2014",2014,"MX710DE - Mono Laser Printer","""Lexmark International, Inc.""","USA","Technology Hardware & Equipment",57.1526,2923.11,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-26-2014",2014,"MX711DE - Mono Laser Printer","""Lexmark International, Inc.""","USA","Technology Hardware & Equipment",57.1526,3127.248,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-27-2014",2014,"MX810DFE - Mono Laser Printer","""Lexmark International, Inc.""","USA","Technology Hardware & Equipment",118.07009,2536.12,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-28-2014",2014,"MX811DFE - Mono Laser Printer","""Lexmark International, Inc.""","USA","Technology Hardware & Equipment",118.07009,2973.37,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"1198-2-2015",2015,"USB software","""Autodesk, Inc.""","USA","Software & Services",0.0085,2.29,"67.61%","2.22%","30.17%"
"10666-29-2014",2014,"MX812DFE - Mono Laser Printer","""Lexmark International, Inc.""","USA","Technology Hardware & Equipment",118.07009,3335.99,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-3-2014",2014,"CX510DE - Color Laser Printer","""Lexmark International, Inc.""","USA","Technology Hardware & Equipment",32.6587,3128.864,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-4-2014",2014,"CS310DN - Color Laser Printer","""Lexmark International, Inc.""","USA","Technology Hardware & Equipment",20.32094,1968.62,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-5-2014",2014,"CS410DN - Color Laser Printer","""Lexmark International, Inc.""","USA","Technology Hardware & Equipment",20.50238,3143.478,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-6-2014",2014,"CS510DE - Color Laser Printer","""Lexmark International, Inc.""","USA","Technology Hardware & Equipment",20.91061,3024.602,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-7-2014",2014,"M5163 - Mono Laser Printer","""Lexmark International, Inc.""","USA","Technology Hardware & Equipment",23.700201,2597.12,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-8-2014",2014,"MS310DN - Mono Laser Printer","""Lexmark International, Inc.""","USA","Technology Hardware & Equipment",15.807694,1504.51,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-9-2014",2014,"MS312DN - Mono Laser Printer","""Lexmark International, Inc.""","USA","Technology Hardware & Equipment",15.807694,1490.36,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10667-1-2014",2014,"Mobile Batteries","LG Chem Ltd","South Korea","Materials",1000,5846,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10667-1-2015",2015,"Mobile Batteries","LG Chem Ltd","South Korea","Chemicals",1000,10245,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10667-2-2013",2013,"""LG Chem’s automotive batteries are sustaining the undisputed No.1 position in the world based on more than 10 years of R&D capability. LG Chem is equipped with solutions for all types of electrical cars (Hybrid EV, Plugged-in EV, Battery EV) based on strong product development capability and manufacturing competitiveness via mass production experience. This enables LG Chem to supply battery cell, pack and BMS (Battery Management System) to global carmakers such as GM, Ford, Renault, Hyundai-Kia and Volvo. LG Chem expects the increased revenue from its automotive battery business by being awarded next-generation projects from existing customers while strengthening strategic partnerships, and securing new customers. Additionally, LG Chem plans to launch new products to meet customer needs in new applications such as SLI and garden tools.""","LG Chem Ltd","South Korea","Materials",1000,3197.1,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10667-2-2014",2014,"Automotive Batteries","LG Chem Ltd","South Korea","Materials",1000,3113,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10667-2-2015",2015,"Automotive Batteries","LG Chem Ltd","South Korea","Chemicals",1000,6309,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10667-2-2016",2016,"Automotive Battery","LG Chem Ltd","South Korea","Materials",1000,4286,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10667-3-2015",2015,"ABS (Acrylonitrile Butadiene Styrene)","LG Chem Ltd","South Korea","Chemicals",1000,876,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10667-3-2016",2016,"ABS(Acrylonitrile Butadiene Styrene)","LG Chem Ltd","South Korea","Materials",1000,396,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10667-4-2016",2016,"BPA(Bisphenol-A)","LG Chem Ltd","South Korea","Materials",1000,1088,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10667-5-2016",2016,"IT&New Application Battery","LG Chem Ltd","South Korea","Materials",1000,10607,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10670-1-2013",2013,"LG-E970","LG Electronics","South Korea","Consumer Durables & Apparel",0.1471,7,"11.28%","0.01%","88.70%"
"10834-1-2015",2015,"""Mouse, M185""","Logitech International SA","Switzerland","Technology Hardware & Equipment",0.136,4.32,"4.63%","60.42%","34.95%"
"1085-1-2013",2013,"White crystalline sugar","Associated British Foods","United Kingdom","""Food, Beverage & Tobacco""",1000,650,"46.15%","53.85%","0.00%"
"1085-1-2014",2014,"Sugar","Associated British Foods","United Kingdom","""Food, Beverage & Tobacco""",1000,650,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"1085-1-2016",2016,"Sugar","Associated British Foods","United Kingdom","""Food, Beverage & Tobacco""",1000,650,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"11152-1-2013",2013,"grinding media cast.","MAGOTTEAUX","Brazil","Materials",1500,1750,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"11632-1-2016",2016,"IC chips of Smartphone","MediaTek","Taiwan","Semiconductors & Semiconductor Equipment",0.1,1.719,"72.39%","27.61%","0.00%"
"1198-1-2013",2013,"1 DVD Software Package","""Autodesk, Inc.""","USA","Software & Services",0.0907185,1.28,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"1198-1-2014",2014,"DVD software","""Autodesk, Inc.""","USA","Software & Services",0.0907185,1.28,"44.05%","11.15%","44.79%"
"1198-1-2015",2015,"DVD software (1 DVD)","""Autodesk, Inc.""","USA","Software & Services",0.0907185,1.28,"44.05%","11.15%","44.80%"
"1198-2-2013",2013,"USB Software","""Autodesk, Inc.""","USA","Software & Services",0.0085,2.285,"75.54%","2.22%","22.24%"
"1198-4-2015",2015,"DVD software (2 DVDs)","""Autodesk, Inc.""","USA","Software & Services",0.181437,1.67,"43.72%","17.13%","39.15%"
"12084-1-2016",2016,"Filtro 26 WS","Miquel Y Costas","Spain","Materials",1,3,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"12117-1-2013",2013,"Dell Laptop","MITIE Group","United Kingdom","Commercial & Professional Services",2.32,320,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"12117-2-2013",2013,"""Kimberley-Clark toilet tissue, 10,000 sheets""","MITIE Group","United Kingdom","Commercial & Professional Services",4.2,20,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"12134-1-2017",2017,"Paraformaldehyde","""Mitsubishi Gas Chemical Company, Inc.""","Japan","Materials",500,200,"56.50%","29.93%","13.57%"
"12134-2-2017",2017,"Methacrylic acid","""Mitsubishi Gas Chemical Company, Inc.""","Japan","Materials",20,71,"64.44%","34.13%","1.43%"
"12134-3-2017",2017,"Hydrogen peroxide","""Mitsubishi Gas Chemical Company, Inc.""","Japan","Materials",20,4,"65.22%","34.54%","0.24%"
"12134-4-2017",2017,"Amines","""Mitsubishi Gas Chemical Company, Inc.""","Japan","Materials",9,8,"63.68%","33.73%","2.60%"
"12134-5-2017",2017,"Peroxides","""Mitsubishi Gas Chemical Company, Inc.""","Japan","Materials",25,42,"63.82%","33.80%","2.38%"
"12134-6-2017",2017,"Super-pure hydrogen peroxide","""Mitsubishi Gas Chemical Company, Inc.""","Japan","Materials",17736,6469,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"12134-7-2017",2017,"ELM","""Mitsubishi Gas Chemical Company, Inc.""","Japan","Materials",160,139,"7.13%","3.77%","89.10%"
"12134-8-2017",2017,"TCDE","""Mitsubishi Gas Chemical Company, Inc.""","Japan","Materials",12000,99075,"64.95%","34.40%","0.66%"
"12289-1-2017",2017,"Zinc Oxide","""Mitsui Mining & Smelting Co., Ltd.""","Japan","Capital Goods",20,5.6724,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"12348-1-2013",2013,"500ml Coors Light brewed in the UK (steal can) CO2e expressed in CO2e/ hl","Molson Coors Brewing Company","USA","""Food, Beverage & Tobacco""",100,31.37,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"12348-2-2013",2013,"""Carling brewed in the UK, 24 440ml cans in 4 packs""","Molson Coors Brewing Company","USA","""Food, Beverage & Tobacco""",12.029,3.02,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"12348-2-2014",2014,"""Carling brewed in the UK, 24 440ml cans in 4 packs""","Molson Coors Brewing Company","USA","""Food, Beverage & Tobacco""",12.029,3.07,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"12348-3-2013",2013,"""Carling brewed in the UK, 24 568ml cans in 4 packs""","Molson Coors Brewing Company","USA","""Food, Beverage & Tobacco""",15.53,2.06,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"12348-3-2014",2014,"""Carling brewed in the UK, 24 568ml cans in 4 packs""","Molson Coors Brewing Company","USA","""Food, Beverage & Tobacco""",15.53,2.0519,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"12348-4-2014",2014,"""Coors Light brewed in the UK, 24 500ml cans in 4 packs""","Molson Coors Brewing Company","USA","""Food, Beverage & Tobacco""",13.67,3.732,"64.93%","28.58%","6.49%"
"12903-1-2015",2015,"Server","NEC Corporation","Japan","Technology Hardware & Equipment",19.28,1600,"5.40%","2.06%","92.54%"
"12903-2-2015",2015,"Broadband Routers","NEC Corporation","Japan","Technology Hardware & Equipment",0.816,56,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"12903-3-2015",2015,"Mobile Network Equipment","NEC Corporation","Japan","Technology Hardware & Equipment",19.28,10273,"1.83%","0.70%","97.48%"
"12942-1-2013",2013,"""1 dl cup of spray dried soluble Nescafé coffee ready to be drunk, at the consumer’s home""","Nestlé","Switzerland","""Food, Beverage & Tobacco""",0.1,0.07,"24.43%","16.03%","59.54%"
"12942-1-2014",2014,"Nescafé soluble coffee","Nestlé","Switzerland","""Food, Beverage & Tobacco""",0.1,0.032,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"12942-1-2015",2015,"Nescafé soluble coffee","Nestlé","Switzerland","Food & Beverage Processing",0.1,0.032,"N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"12942-1-2016",2016,"Nescafé soluble coffee","Nestlé","Switzerland","""Food, Beverage & Tobacco""",0.12,0.052,"49.61%","11.05%","39.34%"
"12942-2-2013",2013,"""EcoShape  bottle of water (0.5 L): Serving of 500 ml of hydration to the consumer. The study examines the extraction and processing of all upstream raw materials to produce the products and packaging components; the manufacturing process; distribution logistics; product use and packaging disposal. The work has been conducted using the Ecoinvent database and SimaPro software.  Climate change impacts are measured in kg CO2 equivalents, following the IPCC’s most recent methodology).  Scenario evaluations have been used to examine the importance of several variables in the product comparison. These include a range of possible consumer behaviours regarding the use of the products, such as conditions of refrigeration, washing of glasses, and disposal routes for packaging, among others.""","Nestlé","Switzerland","""Food, Beverage & Tobacco""",0.54167,0.1405,"45.88%","4.92%","49.20%"
"12942-2-2014",2014,"EcoShape  bottle of water (0.5 L)","Nestlé","Switzerland","""Food, Beverage & Tobacco""",0.54167,0.1405,"45.75%","4.91%","49.34%"
"12942-2-2015",2015,"EcoShape bottle of water (0.5 L)","Nestlé","Switzerland","Food & Beverage Processing",0.54167,0.1405,"45.75%","4.91%","49.34%"
"12942-2-2016",2016,"EcoShape bottle of water (0.5 L)","Nestlé","Switzerland","""Food, Beverage & Tobacco""",0.54167,0.1405,"45.75%","4.91%","49.34%"
"12942-3-2013",2013,"""Nestlé Babyfood NaturNes packaging - plastic pot The good assessed:\"" Packaging systems used to provide one baby food meal in France, Spain, and Germany\"". The 200-g packaging size was selected as the basis for this study. (The total emissions in kg CO2-e per unit provided [in this report] is the figure for France as it is not possible to list all three data in one cell. Please find detail by country and life cycle stages in questiom SM3.2.b""","Nestlé","Switzerland","""Food, Beverage & Tobacco""",0.02,0.184,"44.02%","7.61%","48.37%"
"17659-2-2014",2014,"Staples Sustainable Earth 38A toner cartridge","""Staples, Inc.""","USA","Retailing",0.8172,8.38,"78.45%","5.26%","16.29%"
"12942-4-2013",2013,"""Nestlé Babyfood NaturNes packaging - plastic pot The good assessed:\"" Packaging systems used to provide one baby food meal in France, Spain, and Germany\"". The 200-g packaging size was selected as the basis for this study. (The total emissions in kg CO2-e per unit provided [in this report] is the figure for France as it is not possible to list all three data in one cell. Please find detail by country and life cycle stages in questiom SM3.2.b""","Nestlé","Switzerland","""Food, Beverage & Tobacco""",0.02,0.143,"56.64%","13.29%","30.07%"
"12942-5-2013",2013,"""Nestlé Babyfood NaturNes packaging - plastic pot The good assessed:\"" Packaging systems used to provide one baby food meal in France, Spain, and Germany\"". The 200-g packaging size was selected as the basis for this study. (The total emissions in kg CO2-e per unit provided [in this report] is the figure for France as it is not possible to list all three data in one cell. Please find detail by country and life cycle stages in questiom SM3.2.b""","Nestlé","Switzerland","""Food, Beverage & Tobacco""",0.02,0.125,"64.80%","11.20%","24.00%"
"13360-1-2013",2013,"Average mobile phone","Nokia Group","Finland","Technology Hardware & Equipment",0.218,12,"54.17%","4.17%","41.67%"
