Category: All categories

Week,yoga: (Singapore),workout: (Singapore),zumba: (Singapore),weight training: (Singapore),weight loss: (Singapore)
2022-09-11,12,33,6,<1,4
2022-09-18,10,29,5,0,5
2022-09-25,10,29,4,0,3
2022-10-02,9,28,4,<1,3
2022-10-09,12,30,4,<1,3
2022-10-16,11,28,5,0,3
2022-10-23,10,27,5,<1,3
2022-10-30,11,31,5,<1,3
2022-11-06,8,29,6,0,3
2022-11-13,12,27,5,0,3
2022-11-20,10,29,4,<1,3
2022-11-27,10,27,5,0,3
2022-12-04,19,27,6,0,3
2022-12-11,12,28,5,<1,3
2022-12-18,7,27,5,0,2
2022-12-25,9,28,5,<1,3
2023-01-01,10,29,4,0,2
2023-01-08,8,26,4,1,3
2023-01-15,9,25,4,<1,3
2023-01-22,8,26,5,<1,4
2023-01-29,9,27,6,0,3
2023-02-05,9,25,5,0,2
2023-02-12,10,27,5,0,2
2023-02-19,11,29,4,<1,4
2023-02-26,12,31,5,0,3
2023-03-05,11,29,3,0,4
2023-03-12,8,27,3,1,4
