Category: All categories

Week,home workout: (Worldwide),gym workout: (Worldwide),home gym: (Worldwide)
2021-05-09,18,14,15
2021-05-16,18,14,15
2021-05-23,18,13,15
2021-05-30,18,14,16
2021-06-06,17,14,14
2021-06-13,15,15,14
2021-06-20,16,15,13
2021-06-27,17,16,15
2021-07-04,16,16,14
2021-07-11,16,16,15
2021-07-18,15,17,15
2021-07-25,16,17,15
2021-08-01,14,16,15
2021-08-08,15,16,15
2021-08-15,14,16,15
2021-08-22,15,16,16
2021-08-29,13,15,14
2021-09-05,14,15,13
2021-09-12,13,16,13
2021-09-19,13,15,12
2021-09-26,13,14,12
2021-10-03,12,15,13
2021-10-10,12,15,12
2021-10-17,11,14,12
2021-10-24,11,14,13
2021-10-31,12,13,14
2021-11-07,12,14,14
2021-11-14,12,15,13
2021-11-21,12,14,15
2021-11-28,12,15,15
2021-12-05,12,13,14
2021-12-12,12,13,14
2021-12-19,12,12,14
2021-12-26,16,15,18
2022-01-02,21,19,21
2022-01-09,19,17,19
2022-01-16,16,17,16
2022-01-23,15,18,15
2022-01-30,16,18,16
2022-02-06,14,19,14
2022-02-13,13,17,14
2022-02-20,14,17,14
2022-02-27,13,19,14
2022-03-06,13,19,13
2022-03-13,14,18,12
2022-03-20,14,18,13
2022-03-27,14,17,13
2022-04-03,14,17,12
2022-04-10,13,17,12
2022-04-17,13,17,13
2022-04-24,13,17,11
2022-05-01,13,17,12
2022-05-08,13,18,10
2022-05-15,14,17,11
2022-05-22,13,17,11
2022-05-29,13,19,12
2022-06-05,14,20,11
2022-06-12,14,19,11
2022-06-19,14,20,10
2022-06-26,14,19,11
2022-07-03,14,20,12
2022-07-10,14,19,11
2022-07-17,14,21,12
2022-07-24,13,19,11
2022-07-31,13,20,12
2022-08-07,13,20,12
2022-08-14,13,20,11
2022-08-21,13,20,12
2022-08-28,12,18,11
2022-09-04,11,19,11
2022-09-11,12,19,10
2022-09-18,11,18,10
2022-09-25,11,17,10
2022-10-02,11,16,11
2022-10-09,11,17,11
2022-10-16,11,16,10
2022-10-23,12,16,11
2022-10-30,11,18,12
2022-11-06,11,18,12
2022-11-13,12,18,12
2022-11-20,11,15,12
2022-11-27,11,17,12
2022-12-04,11,16,11
2022-12-11,12,17,12
2022-12-18,12,15,12
2022-12-25,13,17,15
2023-01-01,17,22,15
2023-01-08,14,21,14
2023-01-15,15,21,14
2023-01-22,14,21,13
2023-01-29,13,21,13
2023-02-05,14,21,12
2023-02-12,12,19,11
2023-02-19,14,20,13
2023-02-26,13,19,12
2023-03-05,13,19,12
2023-03-12,14,18,13
