code	lc	product_name_bg	product_name_de	product_name_el	product_name_en	product_name_es	product_name_fr	product_name_it	product_name_pl	generic_name_de	generic_name_el	generic_name_en	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_en	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	ingredients_text_bg	ingredients_text_de	ingredients_text_el	ingredients_text_en	ingredients_text_es	ingredients_text_fr	ingredients_text_nl	ingredients_text_pl	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kj_prepared_value	energy-kj_prepared_unit	energy-kcal_value	energy-kcal_unit	energy-kcal_prepared_value	energy-kcal_prepared_unit	fat_value	fat_unit	fat_prepared_value	fat_prepared_unit	saturated-fat_value	saturated-fat_unit	saturated-fat_prepared_value	saturated-fat_prepared_unit	carbohydrates_value	carbohydrates_unit	carbohydrates_prepared_value	carbohydrates_prepared_unit	sugars_value	sugars_unit	sugars_prepared_value	sugars_prepared_unit	fiber_value	fiber_unit	fiber_prepared_value	fiber_prepared_unit	proteins_value	proteins_unit	proteins_prepared_value	proteins_prepared_unit	salt_value	salt_unit	salt_prepared_value	salt_prepared_unit	sodium_value	sodium_unit	sodium_prepared_value	sodium_prepared_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	energy_prepared_value	energy_prepared_unit	monounsaturated-fat_value	monounsaturated-fat_unit	monounsaturated-fat_prepared_value	monounsaturated-fat_prepared_unit	polyunsaturated-fat_value	polyunsaturated-fat_unit	polyunsaturated-fat_prepared_value	polyunsaturated-fat_prepared_unit	trans-fat_value	trans-fat_unit	cholesterol_value	cholesterol_unit	starch_value	starch_unit	starch_prepared_value	starch_prepared_unit	polyols_value	polyols_unit	soluble-fiber_value	soluble-fiber_unit	insoluble-fiber_value	insoluble-fiber_unit	vitamin-a_value	vitamin-a_unit	vitamin-d_value	vitamin-d_unit	vitamin-k_value	vitamin-k_unit	vitamin-c_value	vitamin-c_unit	vitamin-b1_value	vitamin-b1_unit	vitamin-b2_value	vitamin-b2_unit	vitamin-pp_value	vitamin-pp_unit	vitamin-b6_value	vitamin-b6_unit	vitamin-b9_value	vitamin-b9_unit	folates_value	folates_unit	vitamin-b12_value	vitamin-b12_unit	pantothenic-acid_value	pantothenic-acid_unit	potassium_value	potassium_unit	calcium_value	calcium_unit	phosphorus_value	phosphorus_unit	iron_value	iron_unit	magnesium_value	magnesium_unit	zinc_value	zinc_unit	copper_value	copper_unit	manganese_value	manganese_unit	selenium_value	selenium_unit	iodine_value	iodine_unit	phylloquinone_value	phylloquinone_unit	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	off:ecoscore_data.adjustments.threatened_species.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	data_sources
0348693468852	en				WW Crafted Ancient Grains  sourdough Miche									125.0g			Woolworths	woolworths						France	en:france			0																						100g	100g					289	kcal			7.69999980926514	g			1.10000002384186	g			40.5999984741211	g			1.10000002384186	g			3.90000009536743	g			11.8000001907349	g													289	kcal																																																																											unknown			unknown		1		-5	-15	1	0								
0020702366044	en				Soybean & Linseed Sourdough									125.0g			Sonoma	sonoma						United States	en:united-states			0																						100g	100g					235.2	kcal			3.2	g			0.4	g			36.3200012207031	g			0.719999980926514	g							9.51999969482422	g													235.2	kcal																																																																											unknown			unknown		1		-5	-15	1	0								
0685666003338	en				Sourdough English muffin									55.0g			Founders & Farmers	founders-farmers						Ireland	en:ireland			0																						100g	100g					218.181818181818	kcal			1.81818181818182	g			0.363636369054968	g			41.8181818181818	g			1.81818181818182	g			1.81818181818182	g			7.27272727272727	g													218.181818181818	kcal																																																																											unknown			unknown		1		-5	-15	1	0								
5025125000006	en				Sourdough white Ciabattin								580 g											United Kingdom	en:united-kingdom			0																						100g	100g					238	kcal			1	g			0.3	g			48	g			1.7	g							11	g			0.97	g			0.388	g					238	kcal																																																																											unknown			unknown		1		-5	-15	1	0								App - yuka, Apps, App - smoothie-openfoodfacts
5057172908684	en				mozzarella and tomato sourdough pizza																			United Kingdom	en:united-kingdom			0																						100g	100g					280	kcal			13	g			3.4	g			29	g			4.2	g			1.9	g			11	g			0.98	g			0.392	g					280	kcal																																																																											unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
00252751	en				White sourdough		White sourdough						400g	100g	Ldpe-bag	en:ldpe-bag	Sainsbury's	sainsbury-s		Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads			France, United Kingdom	en:france,en:united-kingdom	Sainsbury's	sainsbury-s	0												Fortified British wheat flour (wheat flour, calcium carbonate, iron, niacin, thiamin), water, sea salt, rapeseed oil, extra virgin olive oil (0.5%), soya flour, rice flour, wheat gluten, fermented wheat flour, flour treatment agent: ascorbic acid					Gluten, Soybeans	en:gluten,en:soybeans			off	100g	100g					1081	kcal			2.9	g			0.4	g			46.7	g			2.9	g			2.1	g			9.6	g			0.68	g			0.272	g			0	% vol / *	1081	kcal																																																																								en:bread	en:cereals-and-potatoes,en:bread	4	en:4-ultra-processed-food-and-drink-products	d	11	unknown				-5	-10	1	0								App - yuka, Apps, App - Open Food Facts
0041735227744	en				Sourdough bread									54.0g			Market	market						United States	en:united-states			0																						100g	100g					120	kcal											24	g							1	g			5	g													120	kcal																																																																											unknown			unknown		1		-5	-15	1	0								
0283839002005	en				Tesco in store baked sourdough bloomer																			United Kingdom	en:united-kingdom	Tesco	tesco	0																						100g	100g					232	kcal			0.8	g			0.2	g			45.5	g			2.2	g			2.8	g			9.3	g			0.9	g			0.36	g					232	kcal																																																																											unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
0041512159831	en				Old fashion garlic sourdough								24 oz											United States	en:united-states			0																						100g	100g					250	kcal			0	g			0	g			50	g			1.9230769230769	g			1.9230769230769	g			9.6153846153846	g			0.96153846153845	g			0.38461538461538	g					250	kcal																																																																											unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
5057172980819	en				Fruited sourdough loaf												Asda	asda						United Kingdom	en:united-kingdom			0																						100g	100g					250	kcal			2.7	g			0.2	g			46	g			6.5	g			4.9	g			7.6	g			3.8	g			1.52	g					250	kcal																																																																											unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
5057172731138	en				Smoked Ham, Mushroom & Mascarpone Sourdough Pizza										Card-box	en:card-box	Asda	asda		Meals, Pizzas pies and quiches, Pizzas	en:meals,en:pizzas-pies-and-quiches,en:pizzas			United Kingdom	en:united-kingdom			0																						100g	100g					227	kcal			8.2	g			2.9	g			27	g			3.5	g			1.7	g			10	g			0.78	g			0.312	g					227	kcal																																																																								en:pizza-pies-and-quiches	en:composite-foods,en:pizza-pies-and-quiches		unknown	b	1	unknown				-5	-10	0	0								App - Yuka, Apps
0781421001288	en				Sourdough loaf								16 oz				La Brea Bakery	la-brea-bakery						United States	en:united-states			0																						100g	100g					263.15789473684	kcal			0.87719298245614	g			0	g			54.385964912281	g			0	g			1.7543859649123	g			8.7719298245614	g			1.6228070175439	g			0.64912280701756	g					263.15789473684	kcal																																																																											unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
00057554	en				Sourdough bread												La Brea Bakery	la-brea-bakery						United States	en:united-states			0																						100g	100g					280	kcal			1	g			0	g			58	g			0	g			2	g			8	g			1.65	g			0.66	g					280	kcal																																																																											unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
0013087256369	en				Seeded Sourdough Rolls												La Brea Bakery	la-brea-bakery						United States	en:united-states			0																						100g	100g					298.24561403509	kcal			0	g			0	g			54.385964912281	g			1.7543859649123	g			3.5087719298246	g			8.7719298245614	g			1.3157894736842	g			0.52631578947368	g					298.24561403509	kcal																																																																											unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
0011110095251	en				Sourdough sandwhich buns												Van De Kamp's	van-de-kamp-s						United States	en:united-states			0																						100g	100g																																																																																																																							unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
5059697263682	en				Sundried Tomato & Oregano Bread with Sourdough												Tesco	tesco		Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads			United Kingdom	en:united-kingdom	Tesco	tesco	0																						100g	100g					242	kcal			2.7	g			0.3	g			43.1	g			2.2	g			5.4	g			8.7	g			1.18	g			0.472	g					242	kcal																																																																								en:bread	en:cereals-and-potatoes,en:bread		unknown	a	-2	unknown		1		-5	-15	1	0								App - Yuka, Apps
9339423009064	fr						Gluten Free Sourdough - Grain & Seeds										Abbott's Bakery	abbott-s-bakery		Snacks	en:snacks	Health Star Rating, Health Star Rating 3.5	en:health-star-rating,en:health-star-rating-3-5	Australie, Singapour	en:australia,en:singapore	Woolworths, Coles	woolworths,coles	0														Water, Modified Tapioca Starch (1442), Rice Flour, Seeds (5%) (Chia Seeds, Linseed, Poppy Seeds (0.6%), Sunflower Seeds), Dried Rice Sourdough Powder (4%), Canola Oil, Sugar, Egg White Powder, Kibbled Soy, Baker's Yeast, Vinegar, Soy Flour, lodised Salt, Thickeners (464, 466), Kibbled Red Sorghum (0.5%), Vegetable Gum (412), Maize Starch, Contains: Egg. Soy.			Soja	en:soybeans				100g	100g					262.89156626506	kcal			6.7469879518072	g			0.8433734939759	g			42.530120481928	g			3.4939759036145	g			3.3734939759036	g			5.9036144578313	g			0.91867469879518	g			0.367469879518072	g					262.89156626506	kcal																																																																											unknown	b	1	unknown		1		-5	-15	1	0								App - yuka, Apps, App - smoothie-openfoodfacts
0070077000005	fr						Sliced sourdough																	Canada	en:canada			0																						100g	100g					242.85714285714	kcal			2.1428571428571	g			0.28571428571429	g			45.714285714286	g			1.4285714285714	g			2.8571428571429	g			8.5714285714286	g			1.1785714285714	g			0.47142857142856	g					242.85714285714	kcal																																																																											unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
0657082071352	en				Rustic Potato Sourdough								9 oz											United States	en:united-states			0																						100g	100g					312.5	kcal			0	g			0	g			65.625	g			0	g			3.125	g			9.375	g			1.640625	g			0.65625	g					312.5	kcal																																																																											unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
4056489423430	en				Wheatmeal Sourdough crackers												Lidl	lidl						Ireland	en:ireland			0																						100g	100g					459	kcal			14	g			7	g			68.5	g			2.7	g			7	g			11.3	g			0.7	g			0.28	g					459	kcal																																																																											unknown			unknown		1		-5	-15	1	0								App - yuka, Apps
0756963170303	en				Organic Sourdough Flatbread bites								4 oz	1 ONZ (28 g)					RUSTIC BAKERY INC.	Snacks, Sweet snacks, Biscuits and cakes	en:snacks,en:sweet-snacks,en:biscuits-and-cakes	Organic, Vegetarian, No GMOs, USDA Organic, Vegan, Non GMO project	en:organic,en:vegetarian,en:no-gmos,en:usda-organic,en:vegan,en:non-gmo-project	United States	en:united-states			0												Organic Wheat Flour, organic wheat flour, water, Organic Cane Sugar, Organic Extra Virgin Olive Oil, Sea Salt, Sel Gris.					Gluten	en:gluten				100g	100g					286	kcal			5.36	g			0	g			53.57	g			7.14	g			0	g			7.14	g			1785	mg			714	mg					286	kcal											0	g	0	mg											0	IU					0	mg																			0	mg			3.86	mg																en:biscuits-and-cakes	en:sugary-snacks,en:biscuits-and-cakes	3	en:3-processed-foods	d	11	unknown		1		-5	-15	1	0		2017-12-12T00:00:00Z	Crackers & Biscotti	LI	530020	2017-12-12T00:00:00Z	2019-04-01T00:00:00Z	Databases, database-usda, App - IsVe, Apps, App - smoothie-openfoodfacts
5391521691095	en				White sourdough loaf								400 g									Vegetarian, Vegan	en:vegetarian,en:vegan	United Kingdom	en:united-kingdom			0												ingredients water sourdough (rice flour, water),maize starch, rice flour rice syrup, psyllium fibre, sunflower seeds oil buckwheat flour, pea protein, salt, citrus fibre, thickener rydroxypropyl methyl cellulose, millet flour, yeast allergy advice: for allergens, see ingredients in bold may contain traces of sesame,							Sesame seeds	en:sesame-seeds		100g	100g					227	kcal			4	g			0.5	g			39.5	g			3.8	g							5.2	g			1.1	g			0.44	g					227	kcal																																																																										4	en:4-ultra-processed-food-and-drink-products			unknown		1		-5	-15	1	0								App - yuka, Apps, App - InFood
5060198644436	en				Imperia Sourdough Pizza							Imperia Ham, Basil Pesto & Creamy Garlic Sourdough Pizza	419g	2 servings	Card-box, Pp film-wrapper	en:card-box,en:pp-film-wrapper	Crosta & Mollica	crosta-mollica		Meats and their products, Meals, Pizzas pies and quiches, Meals with meat, Pizzas, Pork meals, Pizza with ham and cheese	en:meats-and-their-products,en:meals,en:pizzas-pies-and-quiches,en:meals-with-meat,en:pizzas,en:pork-meals,en:pizza-with-ham-and-cheese			United Kingdom	en:united-kingdom	TESCO	tesco	0		Italy	en:italy	Italy	United Kingdom	united-kingdom						Wheat Flour, Garlic Cream Sauce (15%) (Cream, Water, Aged Hard Cheese (Cow's Milk), Sunflower Oil, Maize Starch, Roasted Garlic (0.8%), Salt, Black Pepper, Lemon Juice), Water, Mozzarella Cheese (9%) (Cow's Milk), Basil Pesto (7.8%) (Basil, Sunflower Oil, Aged Hard Cheese (Cow's Milk), Water, Sugar, Salt, Corn Starch, Lemon Juice, Garlic Puree, Bicarbonate of Soda), Prosciutto Cotto Ham (7.1%) (Pork Meat, Water, Salt, Dextrose, Antioxidant: Sodium Ascorbate, Preservative: Sodium Nitrite, Spices and Herbs), Sunflower Oil, Salt, Yeast, Black Pepper					Gluten, Milk	en:gluten,en:milk	Gluten, Soybeans	en:gluten,en:soybeans		100g	100g	1034	kJ			247	kcal			9.1	g			2.7	g			30	g			1.6	g			1.9	g			10	g			1.2	g			0.48	g					1034	kJ																																																																								en:pizza-pies-and-quiches	en:composite-foods,en:pizza-pies-and-quiches	4	en:4-ultra-processed-food-and-drink-products	c	4	c	46	1	25435	2	-15	1	0								App - Yuka, Apps
5000169305348	en				White sourdough bread										Ldpe-bag	en:ldpe-bag	Waitrose	waitrose		Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Sliced breads, Rye breads	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:sliced-breads,en:rye-breads			United Kingdom	en:united-kingdom	Waitrose	waitrose	0												Fortifled wheat flour (wheat flour, calcium carbonate, Iron, niacin, thlamin), water, rye flour, salt, wholemeal wheat flour					Gluten	en:gluten				100g	100g					230	kcal			0.7	g			0.1	g			46.6	g			0.9	g			2.9	g			7.8	g			0.81	g			0.324	g					230	kcal																																																																								en:bread	en:cereals-and-potatoes,en:bread	3	en:3-processed-foods	a	-2	b	77	1	7125	-5	-15	1	0								App - yuka, Apps, App - Open Food Facts
5060526430205	en				Sourdough								600 g											United Kingdom	en:united-kingdom			0																						100g	100g					234	kcal			2.7	g			0.5	g			42.1	g			1.8	g			4.4	g			8.2	g			0.9	g			0.36	g					234	kcal																																																																											unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
