date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth
19790614,7.0,1.2,127.0,16.1,14.4,12.5,2.1,100630.0,0.0
19790615,6.0,3.2,172.0,19.2,11.8,7.4,4.5,100650.0,0.0
19790616,6.0,5.8,218.0,20.7,14.6,9.9,0.0,102150.0,0.0
19790617,7.0,0.6,110.0,22.6,17.0,13.3,0.0,102920.0,0.0
19790618,5.0,6.2,224.0,25.5,18.7,14.8,0.0,102960.0,0.0
19790619,1.0,9.8,277.0,25.8,19.0,12.6,0.0,102570.0,0.0
19790620,2.0,11.3,297.0,19.4,19.0,12.2,0.0,102030.0,0.0
19790621,6.0,0.6,110.0,20.1,17.0,14.6,0.9,101500.0,0.0
19790622,1.0,15.0,343.0,19.5,15.2,10.3,0.0,101730.0,0.0
19790623,5.0,6.1,223.0,16.6,14.9,10.3,0.0,101270.0,0.0
19790624,5.0,5.5,213.0,18.5,13.8,11.0,1.2,100720.0,0.0
19790625,5.0,8.6,260.0,19.9,14.0,9.5,2.1,101250.0,0.0
19790626,6.0,7.5,244.0,21.4,15.2,10.5,0.0,101640.0,0.0
19790627,5.0,5.9,219.0,20.8,16.0,10.6,0.0,101970.0,0.0
19790628,4.0,9.3,269.0,17.6,15.5,10.2,0.0,102070.0,0.0
19790629,6.0,5.5,212.0,16.6,15.8,13.9,0.0,101890.0,0.0
19790630,7.0,0.1,89.0,18.5,14.1,11.6,0.0,102260.0,0.0
19790701,5.0,3.6,179.0,18.7,13.8,9.0,0.0,102510.0,0.0
19790702,5.0,4.7,198.0,22.1,15.1,11.5,0.0,102390.0,0.0
19790703,5.0,7.1,236.0,23.4,16.9,11.7,0.0,102470.0,0.0
19790704,4.0,6.3,224.0,25.5,18.4,13.4,0.0,102840.0,0.0
19790705,2.0,12.5,285.0,25.1,19.3,13.1,0.0,102970.0,0.0
19790706,4.0,8.5,256.0,21.9,19.6,14.1,0.0,102680.0,0.0
19790707,6.0,5.5,210.0,23.1,17.6,13.4,0.0,102140.0,0.0
19790708,7.0,5.6,212.0,20.8,18.0,13.0,0.5,101970.0,0.0
19790709,6.0,8.1,249.0,22.0,18.6,16.5,0.0,101820.0,0.0
19790710,6.0,8.6,256.0,20.8,17.2,12.4,0.0,102370.0,0.0
19790711,7.0,0.6,107.0,25.1,17.4,14.0,0.0,102180.0,0.0
19790712,4.0,13.0,304.0,26.2,18.4,11.6,0.0,101840.0,0.0
19790713,3.0,10.3,278.0,22.1,19.3,12.4,0.0,102060.0,0.0
19790714,5.0,11.2,289.0,21.1,17.6,13.0,0.0,102640.0,0.0
19790715,7.0,4.5,190.0,23.6,18.3,15.5,0.0,102730.0,0.0
19790716,7.0,3.1,165.0,26.7,17.8,12.1,0.0,102370.0,0.0
19790717,3.0,11.9,296.0,21.8,20.0,13.4,0.0,102030.0,0.0
19790718,6.0,0.6,105.0,17.7,18.9,16.0,0.0,101360.0,0.0
19790719,8.0,0.7,108.0,21.5,15.8,14.0,0.0,101400.0,0.0
19790720,6.0,8.7,252.0,19.5,17.6,13.6,0.0,101450.0,0.0
19790721,6.0,3.5,170.0,18.1,16.2,13.0,0.0,101380.0,0.0
19790722,6.0,0.1,84.0,18.7,13.8,9.4,0.0,102260.0,0.0
19790723,7.0,0.4,97.0,21.1,15.8,12.9,0.0,102440.0,0.0
19790724,6.0,2.3,145.0,25.2,16.7,12.3,8.5,102050.0,0.0
19790725,5.0,5.8,206.0,27.1,18.9,12.6,0.0,101860.0,0.0
19790726,6.0,10.7,274.0,29.9,20.2,13.2,0.0,101970.0,0.0
19790727,5.0,11.3,280.0,27.4,22.2,14.6,0.0,102060.0,0.0
19790728,5.0,5.8,204.0,19.8,21.9,16.4,8.0,101890.0,0.0
19790729,6.0,0.9,110.0,21.5,18.6,17.3,0.1,101070.0,0.0
19790730,6.0,0.7,103.0,20.8,17.8,14.1,2.4,100830.0,0.0
19790731,6.0,5.9,203.0,23.1,17.8,14.8,2.2,100220.0,0.0
19790801,5.0,6.1,205.0,21.6,18.6,14.1,0.0,100070.0,0.0
19790802,5.0,5.3,192.0,20.0,17.8,14.0,1.0,100530.0,0.0
19790803,6.0,4.2,174.0,21.6,17.0,14.0,3.0,101320.0,0.0
19790804,6.0,7.2,219.0,22.5,17.9,14.2,0.0,102030.0,0.0
19790805,6.0,9.7,251.0,24.8,17.0,11.4,0.0,101900.0,0.0
19790806,6.0,5.5,192.0,23.1,19.2,13.6,0.2,101360.0,0.0
19790807,7.0,3.2,153.0,20.1,19.6,16.1,0.0,100740.0,0.0
19790808,6.0,2.7,144.0,20.1,15.7,11.3,11.0,101090.0,0.0
19790809,6.0,3.3,154.0,20.0,16.6,13.0,3.1,100340.0,0.0
19790810,6.0,5.5,188.0,23.6,15.0,9.9,0.3,101470.0,0.0
19790811,6.0,5.5,187.0,25.0,19.3,15.0,0.9,101570.0,0.0
19790812,6.0,1.5,116.0,21.5,20.6,16.3,0.0,101800.0,0.0
19790813,8.0,0.2,79.0,20.4,19.2,16.9,1.2,101450.0,0.0
19790814,6.0,8.1,220.0,21.3,18.6,16.7,0.0,100190.0,0.0
19790815,4.0,9.1,232.0,21.0,16.0,10.7,0.0,101210.0,0.0
19790816,5.0,6.2,192.0,18.3,15.4,9.8,5.8,101370.0,0.0
19790817,7.0,0.7,93.0,18.2,16.0,13.7,2.3,100550.0,0.0
19790818,7.0,0.1,72.0,19.8,15.4,12.7,0.0,101440.0,0.0
19790819,6.0,0.6,89.0,22.8,16.6,13.4,0.0,101680.0,0.0
19790820,6.0,6.4,190.0,19.8,17.4,11.9,2.3,101820.0,0.0
19790821,5.0,9.9,233.0,19.6,16.6,13.4,0.2,101480.0,0.0
19790822,4.0,8.1,210.0,16.1,14.8,10.0,0.0,101380.0,0.0
19790823,4.0,5.4,173.0,16.9,12.4,8.8,2.1,100820.0,0.0
19790824,6.0,2.7,130.0,18.3,13.3,9.7,0.0,100940.0,0.0
19790825,6.0,2.5,126.0,18.7,13.2,8.0,0.0,101080.0,0.0
19790826,5.0,7.4,196.0,17.4,14.6,10.5,0.0,101520.0,0.0
19790827,4.0,8.3,205.0,21.8,13.4,9.4,0.0,102080.0,0.0
19790828,0.0,12.5,251.0,23.9,13.8,5.7,0.0,102530.0,0.0
19790829,4.0,12.0,244.0,26.0,16.4,9.0,0.0,102560.0,0.0
19790830,3.0,10.6,227.0,23.1,18.8,11.7,0.0,102090.0,0.0
19790831,6.0,0.8,86.0,22.8,18.0,13.0,0.0,102000.0,0.0
19790901,6.0,4.6,145.0,21.6,19.1,15.4,3.6,101790.0,0.0
19790902,6.0,6.3,166.0,19.4,18.3,15.0,0.9,101410.0,0.0
19790903,7.0,1.6,97.0,21.7,16.2,13.1,0.0,101660.0,0.0
19790904,4.0,8.0,182.0,23.6,16.1,10.5,0.0,102500.0,0.0
19790905,0.0,11.3,215.0,25.9,16.8,10.0,0.0,101980.0,0.0
19790906,2.0,8.5,185.0,21.9,19.2,12.6,0.0,101150.0,0.0
19790907,4.0,8.6,184.0,24.3,17.2,12.5,0.0,101770.0,0.0
19790908,,5.9,153.0,21.8,17.9,11.5,0.0,101870.0,0.0
19790909,6.0,3.7,124.0,21.2,18.5,15.2,0.0,101990.0,0.0
19790910,7.0,3.9,125.0,23.2,17.7,14.2,0.0,102460.0,0.0
19790911,2.0,9.5,187.0,17.4,16.8,10.3,0.0,102250.0,0.0
19790912,4.0,2.4,102.0,18.5,13.6,9.8,0.0,101910.0,0.0
19790913,4.0,9.9,187.0,18.2,15.4,12.4,0.0,101880.0,0.0
19790914,4.0,7.1,157.0,17.4,11.4,4.7,0.0,102260.0,0.0
19790915,3.0,10.6,190.0,20.2,11.7,6.0,0.0,102860.0,0.0
19790916,1.0,11.2,194.0,21.2,13.6,6.9,0.0,102530.0,0.0
19790917,4.0,5.2,132.0,20.4,15.4,9.6,0.0,101540.0,0.0
19790918,8.0,0.0,46.0,18.3,16.3,12.2,5.5,101230.0,0.0
19790919,8.0,0.0,46.0,17.6,17.4,16.4,7.0,101340.0,0.0
19790920,3.0,10.9,184.0,15.5,14.2,10.7,0.0,101240.0,0.0
19790921,3.0,6.4,139.0,14.2,10.5,5.5,3.3,101680.0,0.0
19790922,2.0,9.3,166.0,14.7,9.2,4.3,0.0,102230.0,0.0
19790923,5.0,0.5,59.0,16.6,9.5,4.3,0.3,102270.0,0.0
19790924,5.0,7.9,149.0,18.6,12.1,7.6,0.0,102350.0,0.0
19790925,8.0,0.6,60.0,21.0,13.5,8.4,0.0,102100.0,0.0
19790926,7.0,1.4,73.0,17.7,17.2,13.5,0.2,101880.0,0.0
19790927,6.0,6.5,131.0,17.4,15.4,13.2,0.0,102590.0,0.0
19790928,4.0,7.4,138.0,17.1,12.5,7.6,0.0,103190.0,0.0
19790929,5.0,6.9,132.0,18.7,12.0,6.8,0.0,102800.0,0.0
19790930,6.0,1.5,71.0,19.0,14.4,10.1,0.0,102070.0,0.0
19791001,5.0,4.6,107.0,20.5,14.3,9.6,0.0,101850.0,0.0
19791002,5.0,6.3,122.0,20.1,13.6,6.7,0.0,101820.0,0.0
19791003,7.0,0.7,55.0,17.0,15.7,11.3,0.9,101170.0,0.0
19791004,7.0,1.8,71.0,17.1,15.6,14.3,0.0,100500.0,0.0
19791005,3.0,9.1,141.0,18.8,11.6,6.1,0.0,100880.0,0.0
19791006,6.0,5.4,108.0,19.9,13.2,7.7,2.1,100920.0,0.0
19791007,5.0,5.7,109.0,21.7,15.9,11.9,0.0,101140.0,0.0
19791008,7.0,5.3,104.0,21.1,16.3,10.9,10.5,101390.0,0.0
19791009,7.0,3.9,90.0,16.7,18.2,15.2,9.1,100910.0,0.0
19791010,8.0,0.0,33.0,18.4,15.6,14.4,11.9,100280.0,0.0
19791011,5.0,7.1,115.0,19.2,14.4,10.5,0.1,100310.0,0.0
19791012,5.0,6.0,105.0,18.1,14.6,10.0,0.3,99820.0,0.0
19791013,6.0,2.4,70.0,17.3,15.6,13.0,0.0,99350.0,0.0
19791014,5.0,5.3,96.0,17.9,13.1,8.9,0.0,99510.0,0.0
19791015,,2.7,71.0,16.0,12.4,7.0,0.0,99970.0,0.0
19791016,7.0,3.1,74.0,16.0,12.6,9.2,0.0,101160.0,0.0
19791017,7.0,1.7,58.0,15.8,12.6,9.1,1.0,102210.0,0.0
19791018,3.0,9.5,121.0,18.0,12.2,8.6,0.0,102730.0,0.0
19791019,6.0,5.7,93.0,14.4,13.4,8.8,0.0,102560.0,0.0
19791020,7.0,0.6,41.0,15.0,12.4,10.5,0.0,102690.0,0.0
19791021,4.0,3.7,74.0,13.8,10.6,6.3,0.0,102730.0,0.0
19791022,4.0,3.9,74.0,11.8,11.2,8.5,0.0,102300.0,0.0
19791023,6.0,4.3,77.0,13.7,9.0,6.1,0.0,101820.0,0.0
19791024,6.0,2.3,58.0,13.6,10.8,7.8,7.3,101330.0,0.0
19791025,8.0,0.0,26.0,12.9,11.6,9.6,18.8,100710.0,0.0
19791026,8.0,0.0,25.0,12.4,11.6,10.2,3.1,100740.0,0.0
19791027,3.0,6.1,85.0,10.6,9.1,5.8,0.0,100950.0,0.0
19791028,3.0,4.3,71.0,12.1,5.8,0.9,0.0,100830.0,0.0
19791029,4.0,8.0,95.0,14.3,7.7,3.3,0.0,100930.0,0.0
19791030,7.0,0.0,24.0,14.9,8.5,2.7,3.6,101050.0,0.0
19791031,5.0,5.4,76.0,13.9,11.2,7.5,0.0,100710.0,0.0
19791101,4.0,3.6,62.0,13.2,10.0,6.2,0.0,101480.0,0.0
19791102,4.0,7.6,87.0,15.1,7.5,1.8,5.4,102630.0,0.0
19791103,8.0,0.0,22.0,15.1,9.9,4.7,0.3,102310.0,0.0
19791104,7.0,0.0,22.0,12.5,12.8,10.6,0.8,101320.0,0.0
19791105,4.0,4.9,67.0,13.1,10.0,7.4,3.4,100580.0,0.0
19791106,8.0,0.1,24.0,13.8,10.8,8.6,4.8,100010.0,0.0
19791107,6.0,0.0,21.0,9.6,10.2,6.5,3.6,100200.0,0.0
19791108,7.0,0.0,20.0,9.5,6.8,4.0,0.6,100510.0,0.0
19791109,3.0,5.5,67.0,9.1,6.2,2.8,2.3,100930.0,0.0
19791110,1.0,7.5,77.0,11.0,3.6,-1.8,0.0,102230.0,0.0
19791111,7.0,0.2,24.0,7.4,5.7,0.4,9.2,101740.0,0.0
19791112,5.0,3.4,51.0,6.5,5.6,3.7,0.0,100810.0,0.0
19791113,4.0,6.2,67.0,7.3,2.4,-1.8,2.6,100890.0,0.0
19791114,8.0,0.1,21.0,5.8,3.3,-0.7,1.2,99310.0,0.0
19791115,8.0,0.1,21.0,6.2,4.4,3.1,1.4,99210.0,0.0
19791116,7.0,0.0,18.0,8.5,4.4,2.5,0.5,99890.0,0.0
19791117,,0.0,17.0,10.0,4.8,1.2,0.9,100840.0,0.0
19791118,4.0,6.5,64.0,9.8,6.0,2.0,0.0,100570.0,0.0
19791119,4.0,2.3,39.0,6.4,6.2,2.5,0.0,101710.0,0.0
19791120,,0.0,17.0,6.4,3.4,0.5,0.0,102950.0,0.0
19791121,,0.0,16.0,10.2,3.0,-0.4,0.2,103390.0,0.0
19791122,8.0,0.0,16.0,11.3,5.0,-0.3,0.1,102890.0,0.0
19791123,7.0,0.2,20.0,8.5,8.8,6.2,0.1,102160.0,0.0
19791124,2.0,5.6,55.0,14.0,4.4,0.2,0.0,102200.0,0.0
19791125,6.0,0.0,15.0,15.0,7.6,1.3,0.0,102110.0,0.0
19791126,8.0,0.0,15.0,14.5,11.3,7.6,10.8,101530.0,0.0
19791127,7.0,0.2,19.0,12.9,11.2,8.0,0.0,102290.0,0.0
19791128,4.0,2.4,36.0,12.4,11.4,9.8,0.0,102590.0,0.0
19791129,4.0,1.1,27.0,14.4,8.2,4.0,0.1,102270.0,0.0
19791130,6.0,0.6,22.0,13.5,10.0,5.6,0.0,101670.0,0.0
19791201,6.0,2.9,36.0,14.2,11.2,9.0,0.0,101950.0,0.0
19791202,8.0,0.0,13.0,13.3,11.8,9.4,0.6,101870.0,0.0
19791203,4.0,3.1,36.0,14.1,10.4,7.6,0.0,102150.0,0.0
19791204,6.0,0.7,21.0,15.6,9.8,5.6,0.0,102280.0,0.0
