"order_number","date","warehouse","client_type","product_line","quantity","unit_price","total","payment","payment_fee"
"N45","2021-06-13T00:00:00.000Z","North","Retail","Suspension & traction",3,38.5,115.5,"Credit card",0.03
"N46","2021-06-13T00:00:00.000Z","North","Retail","Suspension & traction",6,28.91,173.46,"Cash",0
"N47","2021-06-14T00:00:00.000Z","North","Retail","Breaking system",10,17.67,176.73,"Credit card",0.03
"N48","2021-06-14T00:00:00.000Z","North","Wholesale","Breaking system",20,24.45,489,"Transfer",0.01
"N49","2021-06-15T00:00:00.000Z","North","Retail","Frame & body",7,36.52,255.62,"Credit card",0.03
"N50","2021-06-15T00:00:00.000Z","North","Retail","Electrical system",9,26.81,241.32,"Credit card",0.03
"N51","2021-06-15T00:00:00.000Z","North","Wholesale","Suspension & traction",36,39.87,1435.26,"Transfer",0.01
"N52","2021-06-15T00:00:00.000Z","North","Retail","Suspension & traction",6,26.9,161.43,"Credit card",0.03
"N53","2021-06-15T00:00:00.000Z","North","Retail","Breaking system",2,22.3,44.59,"Credit card",0.03
"N54","2021-06-16T00:00:00.000Z","North","Wholesale","Suspension & traction",40,35.59,1423.73,"Transfer",0.01
"N55","2021-06-16T00:00:00.000Z","North","Retail","Frame & body",2,48.86,97.73,"Credit card",0.03
"N56","2021-06-17T00:00:00.000Z","North","Retail","Miscellaneous",10,26.87,268.68,"Cash",0
"N57","2021-06-17T00:00:00.000Z","North","Retail","Frame & body",3,37.62,112.85,"Credit card",0.03
"N58","2021-06-17T00:00:00.000Z","North","Retail","Frame & body",7,43.15,302.06,"Cash",0
"N59","2021-06-17T00:00:00.000Z","North","Retail","Suspension & traction",6,28.59,171.52,"Credit card",0.03
"N60","2021-06-18T00:00:00.000Z","North","Wholesale","Frame & body",24,48.18,1156.24,"Transfer",0.01
"N61","2021-06-18T00:00:00.000Z","North","Wholesale","Breaking system",12,23.02,276.3,"Transfer",0.01
"N62","2021-06-18T00:00:00.000Z","North","Retail","Suspension & traction",5,29.38,146.93,"Credit card",0.03
"N63","2021-06-18T00:00:00.000Z","North","Retail","Suspension & traction",9,28.23,254.04,"Credit card",0.03
"N64","2021-06-19T00:00:00.000Z","North","Wholesale","Frame & body",16,44.54,712.69,"Transfer",0.01
"N65","2021-06-19T00:00:00.000Z","North","Retail","Breaking system",6,24.85,149.1,"Credit card",0.03
"N66","2021-06-19T00:00:00.000Z","North","Retail","Suspension & traction",10,32.61,326.13,"Credit card",0.03
"N67","2021-06-19T00:00:00.000Z","North","Retail","Miscellaneous",8,18.98,151.84,"Credit card",0.03
"N68","2021-06-19T00:00:00.000Z","North","Retail","Frame & body",10,44.03,440.32,"Cash",0
"N69","2021-06-19T00:00:00.000Z","North","Retail","Suspension & traction",9,34.68,312.1,"Credit card",0.03
"N70","2021-06-19T00:00:00.000Z","North","Retail","Miscellaneous",6,21.88,131.28,"Credit card",0.03
"N71","2021-06-19T00:00:00.000Z","North","Wholesale","Suspension & traction",12,26.99,323.88,"Transfer",0.01
"N72","2021-06-20T00:00:00.000Z","North","Wholesale","Breaking system",32,18.98,607.36,"Transfer",0.01
"N73","2021-06-20T00:00:00.000Z","North","Retail","Suspension & traction",10,37.06,370.58,"Credit card",0.03
"N74","2021-06-20T00:00:00.000Z","North","Wholesale","Electrical system",16,25.92,414.67,"Transfer",0.01
"N75","2021-06-20T00:00:00.000Z","North","Retail","Frame & body",2,48.86,97.71,"Cash",0
"N76","2021-06-21T00:00:00.000Z","North","Retail","Miscellaneous",3,22.45,67.34,"Credit card",0.03
"N77","2021-06-21T00:00:00.000Z","North","Retail","Electrical system",7,25.53,178.7,"Cash",0
"N78","2021-06-21T00:00:00.000Z","North","Retail","Suspension & traction",6,37.99,227.95,"Credit card",0.03
"N79","2021-06-21T00:00:00.000Z","North","Wholesale","Breaking system",8,14.39,115.15,"Transfer",0.01
"N80","2021-06-21T00:00:00.000Z","North","Retail","Suspension & traction",6,37.2,223.22,"Credit card",0.03
"N81","2021-06-22T00:00:00.000Z","North","Retail","Suspension & traction",3,30.11,90.34,"Credit card",0.03
"N82","2021-06-22T00:00:00.000Z","North","Retail","Suspension & traction",9,37.44,337,"Credit card",0.03
"N83","2021-06-23T00:00:00.000Z","North","Retail","Miscellaneous",9,21.27,191.44,"Credit card",0.03
"N84","2021-06-23T00:00:00.000Z","North","Retail","Suspension & traction",6,36.01,216.06,"Credit card",0.03
"N85","2021-06-23T00:00:00.000Z","North","Retail","Engine",5,65.99,329.96,"Cash",0
"N86","2021-06-23T00:00:00.000Z","North","Retail","Breaking system",1,13.44,13.44,"Credit card",0.03
"N87","2021-06-23T00:00:00.000Z","North","Retail","Miscellaneous",6,29.76,178.53,"Credit card",0.03
"N88","2021-06-23T00:00:00.000Z","North","Retail","Engine",4,59.69,238.77,"Credit card",0.03
"N89","2021-06-23T00:00:00.000Z","North","Retail","Breaking system",5,11.32,56.62,"Cash",0
"N90","2021-06-24T00:00:00.000Z","North","Retail","Breaking system",8,22.78,182.24,"Credit card",0.03
"N91","2021-06-24T00:00:00.000Z","North","Retail","Frame & body",10,46.46,464.62,"Credit card",0.03
"N92","2021-06-24T00:00:00.000Z","North","Wholesale","Electrical system",32,24.77,792.64,"Transfer",0.01
"N93","2021-06-24T00:00:00.000Z","North","Retail","Electrical system",8,18.43,147.41,"Credit card",0.03
"N94","2021-06-24T00:00:00.000Z","North","Retail","Electrical system",5,29.58,147.92,"Credit card",0.03
"N95","2021-06-25T00:00:00.000Z","North","Wholesale","Frame & body",16,40.01,640.13,"Transfer",0.01
"N96","2021-06-25T00:00:00.000Z","North","Retail","Suspension & traction",4,35,140.01,"Cash",0
"N97","2021-06-25T00:00:00.000Z","North","Retail","Breaking system",1,20.68,20.68,"Cash",0
"N98","2021-06-25T00:00:00.000Z","North","Retail","Suspension & traction",9,29.37,264.34,"Credit card",0.03
"N99","2021-06-25T00:00:00.000Z","North","Wholesale","Suspension & traction",12,33.88,406.6,"Transfer",0.01
"N100","2021-06-26T00:00:00.000Z","North","Retail","Breaking system",1,11.89,11.89,"Credit card",0.03
"N101","2021-06-26T00:00:00.000Z","North","Retail","Breaking system",1,10.35,10.35,"Credit card",0.03
"N102","2021-06-26T00:00:00.000Z","North","Retail","Electrical system",7,25.28,176.97,"Cash",0
"N103","2021-06-27T00:00:00.000Z","North","Retail","Engine",8,59.7,477.63,"Credit card",0.03
"N104","2021-06-27T00:00:00.000Z","North","Retail","Electrical system",1,28.88,28.88,"Credit card",0.03
"N105","2021-06-27T00:00:00.000Z","North","Retail","Frame & body",5,38.71,193.54,"Cash",0
"N106","2021-06-27T00:00:00.000Z","North","Retail","Breaking system",7,17.38,121.66,"Credit card",0.03
"N107","2021-06-27T00:00:00.000Z","North","Retail","Miscellaneous",6,26.95,161.71,"Credit card",0.03
"N108","2021-06-27T00:00:00.000Z","North","Retail","Suspension & traction",2,27,54.01,"Credit card",0.03
"N109","2021-06-28T00:00:00.000Z","North","Retail","Miscellaneous",7,15.26,106.79,"Credit card",0.03
"N110","2021-06-28T00:00:00.000Z","North","Retail","Suspension & traction",8,29.03,232.24,"Credit card",0.03
"N111","2021-06-29T00:00:00.000Z","North","Retail","Frame & body",4,37,148.01,"Credit card",0.03
"N112","2021-06-29T00:00:00.000Z","North","Retail","Breaking system",9,22.21,199.86,"Credit card",0.03
"N113","2021-06-29T00:00:00.000Z","North","Wholesale","Frame & body",20,37.99,759.77,"Transfer",0.01
"N114","2021-06-29T00:00:00.000Z","North","Wholesale","Suspension & traction",20,39.56,791.23,"Transfer",0.01
"N115","2021-06-29T00:00:00.000Z","North","Retail","Electrical system",1,23.1,23.1,"Credit card",0.03
"N116","2021-06-30T00:00:00.000Z","North","Wholesale","Suspension & traction",12,40.63,487.56,"Transfer",0.01
"N117","2021-07-01T00:00:00.000Z","North","Retail","Suspension & traction",1,36.06,36.06,"Credit card",0.03
"N118","2021-07-01T00:00:00.000Z","North","Wholesale","Suspension & traction",16,28.46,455.39,"Transfer",0.01
"N119","2021-07-01T00:00:00.000Z","North","Retail","Breaking system",8,16.89,135.12,"Cash",0
"N120","2021-07-02T00:00:00.000Z","North","Wholesale","Frame & body",28,44.92,1257.76,"Transfer",0.01
"N121","2021-07-02T00:00:00.000Z","North","Retail","Miscellaneous",5,15.7,78.53,"Credit card",0.03
"N122","2021-07-02T00:00:00.000Z","North","Wholesale","Engine",16,62.95,1007.15,"Transfer",0.01
"N123","2021-07-03T00:00:00.000Z","North","Wholesale","Breaking system",40,15.52,620.87,"Transfer",0.01
"N124","2021-07-03T00:00:00.000Z","North","Wholesale","Frame & body",32,41.92,1341.44,"Transfer",0.01
"N125","2021-07-03T00:00:00.000Z","North","Retail","Miscellaneous",10,15.16,151.6,"Cash",0
"N126","2021-07-03T00:00:00.000Z","North","Retail","Engine",1,53.06,53.06,"Credit card",0.03
"N127","2021-07-04T00:00:00.000Z","North","Retail","Breaking system",10,19.58,195.75,"Cash",0
"N128","2021-07-04T00:00:00.000Z","North","Retail","Miscellaneous",5,17.88,89.4,"Credit card",0.03
"N129","2021-07-04T00:00:00.000Z","North","Retail","Suspension & traction",10,37.13,371.3,"Credit card",0.03
"N130","2021-07-04T00:00:00.000Z","North","Retail","Suspension & traction",7,40.81,285.69,"Credit card",0.03
"N131","2021-07-04T00:00:00.000Z","North","Retail","Breaking system",5,21.17,105.85,"Credit card",0.03
"N132","2021-07-05T00:00:00.000Z","North","Wholesale","Electrical system",28,20.87,584.36,"Transfer",0.01
"N133","2021-07-05T00:00:00.000Z","North","Retail","Breaking system",4,16.44,65.75,"Credit card",0.03
"N134","2021-07-05T00:00:00.000Z","North","Retail","Electrical system",7,29.1,203.68,"Credit card",0.03
"N135","2021-07-05T00:00:00.000Z","North","Retail","Frame & body",5,40.51,202.55,"Credit card",0.03
"N136","2021-07-05T00:00:00.000Z","North","Wholesale","Suspension & traction",4,36.99,147.97,"Transfer",0.01
"N137","2021-07-06T00:00:00.000Z","North","Wholesale","Suspension & traction",8,28.48,227.85,"Transfer",0.01
"N138","2021-07-06T00:00:00.000Z","North","Retail","Breaking system",1,13.44,13.44,"Credit card",0.03
"N139","2021-07-06T00:00:00.000Z","North","Retail","Miscellaneous",1,27.98,27.98,"Credit card",0.03
"N140","2021-07-06T00:00:00.000Z","North","Retail","Frame & body",3,45.87,137.6,"Cash",0
"N141","2021-07-06T00:00:00.000Z","North","Retail","Suspension & traction",6,29.32,175.91,"Credit card",0.03
"N142","2021-07-07T00:00:00.000Z","North","Retail","Engine",5,55.95,279.73,"Credit card",0.03
"N143","2021-07-07T00:00:00.000Z","North","Wholesale","Suspension & traction",24,31.24,749.76,"Transfer",0.01
"N144","2021-07-08T00:00:00.000Z","North","Retail","Frame & body",1,40.93,40.93,"Credit card",0.03
"N145","2021-07-08T00:00:00.000Z","North","Retail","Suspension & traction",8,40.52,324.16,"Cash",0
"N146","2021-07-08T00:00:00.000Z","North","Retail","Engine",8,64.93,519.47,"Credit card",0.03
"N147","2021-07-08T00:00:00.000Z","North","Retail","Miscellaneous",10,20.53,205.32,"Credit card",0.03
"N148","2021-07-08T00:00:00.000Z","North","Retail","Suspension & traction",1,29.83,29.83,"Credit card",0.03
"N149","2021-07-09T00:00:00.000Z","North","Retail","Breaking system",1,11.62,11.62,"Cash",0
"N150","2021-07-09T00:00:00.000Z","North","Retail","Frame & body",7,47.72,334.03,"Credit card",0.03
"N151","2021-07-09T00:00:00.000Z","North","Retail","Breaking system",10,24.83,248.3,"Credit card",0.03
"N152","2021-07-10T00:00:00.000Z","North","Retail","Breaking system",1,13.64,13.64,"Credit card",0.03
"N153","2021-07-10T00:00:00.000Z","North","Wholesale","Miscellaneous",36,19.17,690.24,"Transfer",0.01
"N154","2021-07-10T00:00:00.000Z","North","Wholesale","Frame & body",40,37.04,1481.6,"Transfer",0.01
"N155","2021-07-11T00:00:00.000Z","North","Retail","Breaking system",7,17.28,120.93,"Cash",0
"N156","2021-07-11T00:00:00.000Z","North","Retail","Miscellaneous",5,20.76,103.82,"Credit card",0.03
"N157","2021-07-11T00:00:00.000Z","North","Retail","Suspension & traction",1,37.34,37.34,"Credit card",0.03
"N158","2021-07-11T00:00:00.000Z","North","Wholesale","Breaking system",40,13.36,534.27,"Transfer",0.01
"N159","2021-07-12T00:00:00.000Z","North","Retail","Suspension & traction",3,38.35,115.04,"Credit card",0.03
"N160","2021-07-12T00:00:00.000Z","North","Retail","Frame & body",4,49.13,196.51,"Credit card",0.03
"N161","2021-07-13T00:00:00.000Z","North","Retail","Electrical system",5,24.49,122.46,"Credit card",0.03
"N162","2021-07-13T00:00:00.000Z","North","Retail","Electrical system",6,20.9,125.43,"Credit card",0.03
"N163","2021-07-13T00:00:00.000Z","North","Retail","Frame & body",2,45.27,90.54,"Credit card",0.03
"N164","2021-07-14T00:00:00.000Z","North","Retail","Suspension & traction",4,30.38,121.5,"Credit card",0.03
"N165","2021-07-14T00:00:00.000Z","North","Retail","Electrical system",1,29.47,29.47,"Cash",0
"N166","2021-07-15T00:00:00.000Z","North","Retail","Frame & body",3,40.78,122.32,"Credit card",0.03
"N167","2021-07-15T00:00:00.000Z","North","Retail","Suspension & traction",8,41.59,332.75,"Credit card",0.03
"N168","2021-07-15T00:00:00.000Z","North","Retail","Electrical system",1,31.88,31.88,"Credit card",0.03
"N169","2021-07-16T00:00:00.000Z","North","Retail","Miscellaneous",3,24.52,73.55,"Credit card",0.03
"N170","2021-07-16T00:00:00.000Z","North","Retail","Suspension & traction",8,36.66,293.28,"Credit card",0.03
"N171","2021-07-16T00:00:00.000Z","North","Retail","Breaking system",3,16.99,50.97,"Credit card",0.03
"N172","2021-07-16T00:00:00.000Z","North","Retail","Breaking system",3,17.03,51.1,"Credit card",0.03
"N173","2021-07-16T00:00:00.000Z","North","Retail","Electrical system",6,19.21,115.26,"Credit card",0.03
"N174","2021-07-17T00:00:00.000Z","North","Retail","Miscellaneous",7,17.47,122.29,"Credit card",0.03
"N175","2021-07-18T00:00:00.000Z","North","Retail","Suspension & traction",8,39.8,318.39,"Credit card",0.03
"N176","2021-07-18T00:00:00.000Z","North","Retail","Breaking system",3,15.9,47.69,"Credit card",0.03
"N177","2021-07-18T00:00:00.000Z","North","Retail","Electrical system",5,22.43,112.13,"Credit card",0.03
"N178","2021-07-18T00:00:00.000Z","North","Retail","Frame & body",9,49.68,447.14,"Credit card",0.03
"N179","2021-07-18T00:00:00.000Z","North","Wholesale","Breaking system",32,21.83,698.45,"Transfer",0.01
"N180","2021-07-18T00:00:00.000Z","North","Retail","Electrical system",3,32.02,96.04,"Credit card",0.03
"N181","2021-07-18T00:00:00.000Z","North","Retail","Breaking system",3,13.82,41.45,"Cash",0
"N182","2021-07-19T00:00:00.000Z","North","Wholesale","Suspension & traction",24,30.74,737.68,"Transfer",0.01
"N183","2021-07-19T00:00:00.000Z","North","Wholesale","Breaking system",28,23.06,645.59,"Transfer",0.01
"N184","2021-07-19T00:00:00.000Z","North","Wholesale","Electrical system",4,27.08,108.32,"Transfer",0.01
"N185","2021-07-20T00:00:00.000Z","North","Retail","Breaking system",2,24.75,49.49,"Credit card",0.03
"N186","2021-07-20T00:00:00.000Z","North","Wholesale","Miscellaneous",36,29.78,1071.96,"Transfer",0.01
"N187","2021-07-20T00:00:00.000Z","North","Wholesale","Electrical system",36,28.26,1017.48,"Transfer",0.01
"N188","2021-07-20T00:00:00.000Z","North","Retail","Engine",5,58.46,292.33,"Credit card",0.03
"N189","2021-07-21T00:00:00.000Z","North","Retail","Miscellaneous",5,28.72,143.58,"Credit card",0.03
"N190","2021-07-21T00:00:00.000Z","North","Retail","Suspension & traction",2,31.28,62.56,"Credit card",0.03
"N191","2021-07-21T00:00:00.000Z","North","Retail","Engine",10,55.39,553.87,"Credit card",0.03
"N192","2021-07-22T00:00:00.000Z","North","Retail","Electrical system",3,32.44,97.32,"Credit card",0.03
"N193","2021-07-23T00:00:00.000Z","North","Retail","Suspension & traction",10,27.9,279.03,"Credit card",0.03
"N194","2021-07-23T00:00:00.000Z","North","Retail","Suspension & traction",1,35.97,35.97,"Credit card",0.03
"N195","2021-07-23T00:00:00.000Z","North","Wholesale","Frame & body",40,37.42,1496.6,"Transfer",0.01
"N196","2021-07-24T00:00:00.000Z","North","Retail","Miscellaneous",4,25.58,102.31,"Credit card",0.03
"N197","2021-07-25T00:00:00.000Z","North","Retail","Suspension & traction",10,31.71,317.1,"Credit card",0.03
"N198","2021-07-25T00:00:00.000Z","North","Wholesale","Suspension & traction",8,32.95,263.57,"Transfer",0.01
"N199","2021-07-26T00:00:00.000Z","North","Retail","Miscellaneous",3,29.93,89.8,"Credit card",0.03
"N200","2021-07-26T00:00:00.000Z","North","Retail","Electrical system",6,28.14,168.84,"Credit card",0.03
"N201","2021-07-26T00:00:00.000Z","North","Retail","Frame & body",5,48.57,242.84,"Credit card",0.03
"N202","2021-07-26T00:00:00.000Z","North","Retail","Frame & body",1,43.95,43.95,"Credit card",0.03
"N203","2021-07-26T00:00:00.000Z","North","Retail","Breaking system",4,20.51,82.03,"Credit card",0.03
"N204","2021-07-26T00:00:00.000Z","North","Retail","Electrical system",3,27.53,82.59,"Credit card",0.03
"N205","2021-07-27T00:00:00.000Z","North","Retail","Electrical system",2,24.44,48.87,"Cash",0
"N206","2021-07-27T00:00:00.000Z","North","Retail","Breaking system",1,17.58,17.58,"Credit card",0.03
"N207","2021-07-28T00:00:00.000Z","North","Wholesale","Breaking system",8,11.91,95.31,"Transfer",0.01
"N208","2021-07-28T00:00:00.000Z","North","Retail","Breaking system",9,21.32,191.9,"Credit card",0.03
"N209","2021-07-28T00:00:00.000Z","North","Retail","Miscellaneous",10,25.74,257.4,"Credit card",0.03
"N210","2021-07-28T00:00:00.000Z","North","Wholesale","Suspension & traction",28,40.43,1132.13,"Transfer",0.01
"N211","2021-07-28T00:00:00.000Z","North","Retail","Breaking system",10,11.48,114.75,"Credit card",0.03
"N212","2021-07-29T00:00:00.000Z","North","Wholesale","Miscellaneous",24,26.77,642.48,"Transfer",0.01
"N213","2021-07-29T00:00:00.000Z","North","Retail","Electrical system",3,26,78,"Credit card",0.03
"N214","2021-07-30T00:00:00.000Z","North","Retail","Suspension & traction",2,30.79,61.58,"Credit card",0.03
"N215","2021-07-30T00:00:00.000Z","North","Retail","Electrical system",10,24.25,242.47,"Credit card",0.03
"N216","2021-07-30T00:00:00.000Z","North","Retail","Breaking system",4,12.05,48.21,"Credit card",0.03
"N217","2021-07-31T00:00:00.000Z","North","Retail","Frame & body",2,39.91,79.82,"Credit card",0.03
"N218","2021-07-31T00:00:00.000Z","North","Retail","Miscellaneous",4,24.42,97.68,"Credit card",0.03
"N219","2021-07-31T00:00:00.000Z","North","Wholesale","Frame & body",12,48.1,577.26,"Transfer",0.01
"N220","2021-08-01T00:00:00.000Z","North","Retail","Electrical system",7,21.49,150.44,"Credit card",0.03
"N221","2021-08-01T00:00:00.000Z","North","Retail","Breaking system",1,16.07,16.07,"Credit card",0.03
"N222","2021-08-01T00:00:00.000Z","North","Retail","Engine",1,54.17,54.17,"Credit card",0.03
"N223","2021-08-01T00:00:00.000Z","North","Retail","Suspension & traction",7,32.72,229.05,"Credit card",0.03
"N224","2021-08-01T00:00:00.000Z","North","Retail","Breaking system",8,12.03,96.23,"Credit card",0.03
"N225","2021-08-02T00:00:00.000Z","North","Retail","Suspension & traction",9,30.55,274.95,"Cash",0
"N226","2021-08-02T00:00:00.000Z","North","Retail","Miscellaneous",4,25.78,103.11,"Credit card",0.03
"N227","2021-08-02T00:00:00.000Z","North","Wholesale","Breaking system",36,16.49,593.76,"Transfer",0.01
"N228","2021-08-02T00:00:00.000Z","North","Retail","Engine",3,61.45,184.36,"Credit card",0.03
"N229","2021-08-02T00:00:00.000Z","North","Retail","Frame & body",7,35.39,247.73,"Credit card",0.03
"N230","2021-08-02T00:00:00.000Z","North","Wholesale","Engine",40,58.1,2324.2,"Transfer",0.01
"N231","2021-08-02T00:00:00.000Z","North","Retail","Electrical system",5,19.1,95.52,"Credit card",0.03
"N232","2021-08-02T00:00:00.000Z","North","Retail","Suspension & traction",4,34.42,137.69,"Credit card",0.03
"N233","2021-08-02T00:00:00.000Z","North","Wholesale","Electrical system",24,33.3,799.32,"Transfer",0.01
"N234","2021-08-03T00:00:00.000Z","North","Retail","Suspension & traction",3,38.05,114.16,"Cash",0
"N235","2021-08-03T00:00:00.000Z","North","Retail","Breaking system",2,21.98,43.97,"Credit card",0.03
"N236","2021-08-04T00:00:00.000Z","North","Wholesale","Electrical system",36,20.25,729,"Transfer",0.01
"N237","2021-08-04T00:00:00.000Z","North","Retail","Frame & body",6,48.69,292.13,"Credit card",0.03
"N238","2021-08-04T00:00:00.000Z","North","Wholesale","Frame & body",40,35.97,1438.73,"Transfer",0.01
"N239","2021-08-04T00:00:00.000Z","North","Retail","Electrical system",1,29.96,29.96,"Cash",0
"N240","2021-08-05T00:00:00.000Z","North","Wholesale","Suspension & traction",16,29.72,475.49,"Transfer",0.01
"N241","2021-08-05T00:00:00.000Z","North","Retail","Electrical system",9,19.26,173.32,"Credit card",0.03
"N242","2021-08-05T00:00:00.000Z","North","Retail","Suspension & traction",1,41.32,41.32,"Credit card",0.03
"N243","2021-08-06T00:00:00.000Z","North","Retail","Electrical system",1,32.86,32.86,"Cash",0
"N244","2021-08-06T00:00:00.000Z","North","Retail","Suspension & traction",6,30.67,183.99,"Credit card",0.03
"N245","2021-08-06T00:00:00.000Z","North","Wholesale","Suspension & traction",40,40.11,1604.33,"Transfer",0.01
"N246","2021-08-06T00:00:00.000Z","North","Retail","Breaking system",5,18.63,93.14,"Credit card",0.03
"N247","2021-08-07T00:00:00.000Z","North","Retail","Engine",4,58.62,234.47,"Credit card",0.03
"N248","2021-08-07T00:00:00.000Z","North","Retail","Breaking system",8,24.55,196.39,"Credit card",0.03
"N249","2021-08-07T00:00:00.000Z","North","Wholesale","Miscellaneous",20,29.96,599.27,"Transfer",0.01
"N250","2021-08-07T00:00:00.000Z","North","Retail","Frame & body",2,43.48,86.96,"Credit card",0.03
"N251","2021-08-07T00:00:00.000Z","North","Retail","Frame & body",10,42.04,420.43,"Credit card",0.03
"N252","2021-08-07T00:00:00.000Z","North","Retail","Electrical system",10,25.32,253.23,"Cash",0
"N253","2021-08-08T00:00:00.000Z","North","Retail","Suspension & traction",7,40.62,284.3,"Credit card",0.03
"N254","2021-08-08T00:00:00.000Z","North","Retail","Frame & body",3,37.64,112.92,"Credit card",0.03
"N255","2021-08-08T00:00:00.000Z","North","Wholesale","Miscellaneous",28,15.02,420.61,"Transfer",0.01
"N256","2021-08-08T00:00:00.000Z","North","Retail","Electrical system",2,26.34,52.68,"Credit card",0.03
"N257","2021-08-08T00:00:00.000Z","North","Retail","Frame & body",5,43.77,218.85,"Credit card",0.03
"N258","2021-08-08T00:00:00.000Z","North","Retail","Breaking system",2,22.95,45.89,"Credit card",0.03
"N259","2021-08-09T00:00:00.000Z","North","Retail","Suspension & traction",8,35.57,284.56,"Credit card",0.03
